cell_type	n_donors	mean_expr	frac_expr
Pericytes	11	0.725428050543756	0.447758981765559
Alveolar fibroblasts	22	0.148694003875907	0.124505488701811
Adventitial fibroblasts	28	0.100456614019826	0.134049375486995
Smooth muscle	29	0.0651999692997188	0.054347690539119
Peribronchial fibroblasts	17	0.0494125791429384	0.0511079076614874
