cell_type	n_donors	rho	pval	fdr
Smooth muscle	29	0.357380712581636	0.0570018475870581	0.28500923793529
Alveolar fibroblasts	22	0.0915513185678724	0.685329916562647	0.947060332516926
Pericytes	11	-0.0818181818181818	0.817650128521416	0.947060332516926
Peribronchial fibroblasts	17	-0.057953188322412	0.825145900023701	0.947060332516926
Adventitial fibroblasts	28	-0.01314708742928	0.947060332516926	0.947060332516926
