cell_type	n_donors	df_spline	p_spline_vs_linear	AIC_linear	AIC_spline	fdr
Alveolar fibroblasts	22	3	0.0547228680412217	-28.0709937065802	-33.202482144889	0.273614340206108
Pericytes	11	3	0.464703464828582	8.51066090484097	8.29570407708687	0.786461438914434
Peribronchial fibroblasts	17	3	0.543429829050302	-47.7901692306072	-45.8636751770808	0.786461438914434
Adventitial fibroblasts	28	3	0.62980413833878	-57.9542059114283	-55.1871296433192	0.786461438914434
Smooth muscle	29	3	0.786461438914434	-81.5647424361554	-78.1980275275797	0.786461438914434
