cell_type	n_donors	edf	p_smooth	r2	fdr
Smooth muscle	29	1.00004070129375	0.147119386554307	0.0242149099412609	0.735596932771537
Peribronchial fibroblasts	17	1.00000981405251	0.534182609149008	-0.0719322153962247	0.961995144344441
Pericytes	11	1.00000807739045	0.925829813933971	-0.553963270972202	0.961995144344441
Adventitial fibroblasts	28	1.00000499873983	0.943047362446759	0.00778328572202214	0.961995144344441
Alveolar fibroblasts	22	1.00000597564812	0.961995144344441	-0.121159014928995	0.961995144344441
