compartment	contrast	n_control	n_disease	sd_log1p_cp10k	mde_80pct	estimable
ATI	COPD	20	16	0.00717293828416223	0.00674126634603547	TRUE
ATI	IPF	20	21	0.00717293828416223	0.0062796076274751	TRUE
ATII	COPD	24	16	0.0127262780449956	0.011508902793565	TRUE
ATII	IPF	24	25	0.0127262780449956	0.0101904169351992	TRUE
Endothelial	COPD	26	17	0.00852883983238884	0.00745385916283136	TRUE
Endothelial	IPF	26	32	0.00852883983238884	0.00630972487868225	TRUE
Fibroblast	COPD	23	17	0.157067378906063	0.140765343465857	TRUE
Fibroblast	IPF	23	30	0.157067378906063	0.12197407036906	TRUE
Mural	COPD	13	13	0.317569108376301	0.349019508279316	TRUE
Mural	IPF	13	27	0.317569108376301	0.300388165126065	TRUE
Myofibroblast	COPD	19	14	0.179885268136934	0.177533322321151	TRUE
Myofibroblast	IPF	19	30	0.179885268136934	0.147782953209023	TRUE
Pericyte	COPD	5	10	0.433388192610006	0.665128922875401	TRUE
Pericyte	IPF	5	20	0.433388192610006	0.607176857846619	TRUE
SMC	COPD	10	12	0.111003164691869	0.133175461058422	TRUE
SMC	IPF	10	23	0.111003164691869	0.117813902941704	TRUE
