compartment	Control	COPD	IPF
ATI	20	16	21
ATII	24	16	25
Endothelial	26	17	32
Fibroblast	23	17	30
Mural	13	13	27
Myofibroblast	19	14	30
Pericyte	5	10	20
SMC	10	12	23
