gene	compartment	contrast	family	estimable	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH_reference	n_model_donors	covariates	n_control	n_donors_arm	n_control_donors
AGTR1	SMC	IPF	exploratory	TRUE	0.0837088749996306	0.0454689675891276	-0.00541030147505955	0.172828051474321	38	1.84101112116842	0.0734374192453614		45	mean_log10_counts+sex+age+ever_smoker	10	23	10
AGTR1	ATII	IPF	exploratory	TRUE	0.0054060979934397	0.00496539741280999	-0.00432608093566788	0.0151382769225473	58	1.08875434209813	0.280765555712458		65	mean_log10_counts+sex+age+ever_smoker	24	25	24
AGTR1	SMC	COPD	exploratory	TRUE	0.0471731213203327	0.0535850726846092	-0.0578536211415013	0.152199863782167	38	0.880340717236385	0.384208667538022		45	mean_log10_counts+sex+age+ever_smoker	10	12	10
AGTR1	ATI	IPF	exploratory	TRUE	0.00222754276418369	0.00300872819344784	-0.00366956449497407	0.00812465002334145	50	0.740360252227053	0.462544000425936		57	mean_log10_counts+sex+age+ever_smoker	20	21	20
AGTR1	ATII	COPD	exploratory	TRUE	0.00356951566355312	0.00558264665314143	-0.00737247177660408	0.0145115031037103	58	0.639394875823728	0.525083506251098		65	mean_log10_counts+sex+age+ever_smoker	24	16	24
AGTR1	Mural	COPD	exploratory	TRUE	0.091372414687292	0.149913762619566	-0.202458560047057	0.385203389421641	46	0.609499842380493	0.545192120448677		53	mean_log10_counts+sex+age+ever_smoker	13	13	13
AGTR1	Endothelial	IPF	exploratory	TRUE	0.00168810570901188	0.003283236646914	-0.00474703811893956	0.00812324953696331	68	0.514159011534722	0.608807764167506		75	mean_log10_counts+sex+age+ever_smoker	26	32	26
AGTR1	Mural	IPF	exploratory	TRUE	0.0564486642808923	0.127087197030983	-0.192642241899834	0.305539570461618	46	0.444172706611278	0.659000349372485		53	mean_log10_counts+sex+age+ever_smoker	13	27	13
AGTR1	Endothelial	COPD	exploratory	TRUE	-0.00148802079170641	0.00350861936623119	-0.00836491474951955	0.00538887316610672	68	-0.424104365958848	0.672828387588088		75	mean_log10_counts+sex+age+ever_smoker	26	17	26
AGTR1	Pericyte	IPF	exploratory	TRUE	-0.0870655402511252	0.26902603173403	-0.614356562449824	0.440225481947573	28	-0.323632399771639	0.748621279443952		35	mean_log10_counts+sex+age+ever_smoker	5	20	5
AGTR1	Pericyte	COPD	exploratory	TRUE	0.0909795204119087	0.298343180124536	-0.493773112632181	0.675732153455999	28	0.304949221141679	0.762660135704618		35	mean_log10_counts+sex+age+ever_smoker	5	10	5
AGTR1	ATI	COPD	exploratory	TRUE	0.000642466396553704	0.00308059162298622	-0.00539549318449928	0.00668042597760669	50	0.208552925924963	0.835644535880386		57	mean_log10_counts+sex+age+ever_smoker	20	16	20
AGT	Fibroblast	IPF	exploratory	TRUE	0.0892384948463146	0.0325477249392051	0.0254449539654725	0.153032035727157	63	2.74177365739081	0.0079443175874045		70	mean_log10_counts+sex+age+ever_smoker	23	30	23
ACE2	Mural	COPD	exploratory	TRUE	0.0277210880612441	0.016286091610575	-0.00419965149548284	0.0596418276179711	46	1.70213263710515	0.0954805101788941		53	mean_log10_counts+sex+age+ever_smoker	13	13	13
AGT	Endothelial	IPF	exploratory	TRUE	0.000862497702729572	0.00056531589555187	-0.000245521452552093	0.00197051685801124	68	1.52569158149638	0.1317246464387		75	mean_log10_counts+sex+age+ever_smoker	26	32	26
ACE	Myofibroblast	IPF	exploratory	TRUE	0.0220082613397968	0.0144943827802124	-0.00640072890941963	0.0504172515890131	56	1.5183993463897	0.134539576268989		63	mean_log10_counts+sex+age+ever_smoker	19	30	19
AGTR2	ATII	COPD	exploratory	TRUE	0.0743157513398339	0.0503307391747558	-0.0243324974426874	0.172964000122355	58	1.47654798157839	0.145206003402388		65	mean_log10_counts+sex+age+ever_smoker	24	16	24
AGT	SMC	COPD	exploratory	TRUE	-0.215528608281092	0.145843595186318	-0.501382054846275	0.0703248382840902	38	-1.47780646798888	0.147700796170824		45	mean_log10_counts+sex+age+ever_smoker	10	12	10
ACE2	Mural	IPF	exploratory	TRUE	0.0201856162115839	0.0138062956810054	-0.00687472332318664	0.0472459557463544	46	1.46205880838516	0.150523765705288		53	mean_log10_counts+sex+age+ever_smoker	13	27	13
AGTR2	Fibroblast	IPF	exploratory	TRUE	0.000757824619622539	0.000545874839712791	-0.000312090066214532	0.00182773930545961	63	1.3882754149674	0.169942845680453		70	mean_log10_counts+sex+age+ever_smoker	23	30	23
