disease	n_donors	n_ever_smoker	pct_ever_smoker	n_female	age_median	mean_log10_counts	compartment	ever_smoker_constant_in_arm
Control	20	4	20	11	49	3.6121882730803	ATI	FALSE
COPD	16	15	93.75	8	62.5	3.6421621251055	ATI	FALSE
IPF	21	16	76.1904761904762	3	67	3.78356287505762	ATI	FALSE
Control	24	4	16.6666666666667	12	48.5	3.88417612440822	ATII	FALSE
COPD	16	15	93.75	8	61.5	3.81620077515312	ATII	FALSE
IPF	25	17	68	5	67	3.88427603090482	ATII	FALSE
Control	26	5	19.2307692307692	12	48.5	3.58754840964647	Endothelial	FALSE
COPD	17	16	94.1176470588235	9	62	3.57737817942402	Endothelial	FALSE
IPF	32	21	65.625	6	66.5	3.75239954306497	Endothelial	FALSE
Control	23	5	21.7391304347826	10	50	3.83527546167691	Fibroblast	FALSE
COPD	17	16	94.1176470588235	8	62	3.71293227138498	Fibroblast	FALSE
IPF	30	20	66.6666666666667	6	66	3.80630621881337	Fibroblast	FALSE
Control	13	3	23.0769230769231	7	62	3.54530663509302	Mural	FALSE
COPD	13	12	92.3076923076923	8	62	3.55222834941235	Mural	FALSE
IPF	27	17	62.962962962963	6	66	3.60112246017378	Mural	FALSE
Control	19	4	21.0526315789474	8	54	3.65110374969059	Myofibroblast	FALSE
COPD	14	13	92.8571428571429	8	62	3.60742841182279	Myofibroblast	FALSE
IPF	30	20	66.6666666666667	6	66.5	3.80982089491708	Myofibroblast	FALSE
Control	5	2	40	0	61	3.40946257729757	Pericyte	FALSE
COPD	10	10	100	5	62	3.49997869410482	Pericyte	TRUE
IPF	20	12	60	5	66	3.61818591037356	Pericyte	FALSE
Control	10	2	20	6	63	3.55615600589097	SMC	FALSE
COPD	12	11	91.6666666666667	7	61.5	3.54670506662507	SMC	FALSE
IPF	23	14	60.8695652173913	5	66	3.57475432991486	SMC	FALSE
