name	powerDetect	exp.probs	power	sampleSize	totalCells	usableCells	multipletFraction	ctCells	expressedGenes
Simulated	0.0627777387819481	0.105024447958694	0.478555869111935	10	500	492	0.01534	59	5378
Simulated	0.437498711222807	0.560304169956587	0.717492761302701	10	1000	969	0.03068	117	7790
Simulated	0.689452259190131	0.810937193344362	0.831334885645039	10	1500	1431	0.04602	172	9069
Simulated	0.845143798624263	0.943246767738327	0.892924519723892	10	2000	1877	0.06136	226	9920
Simulated	0.916439151715979	0.988722784047952	0.926645061559037	10	2500	2308	0.0767	278	10531
Simulated	0.944343721187012	0.998392020526171	0.945861591985407	10	3000	2724	0.09204	328	10997
Simulated	0.957199590869289	0.999815720291103	0.957377790414462	10	3500	3124	0.10738	376	11368
Simulated	0.964664229910899	0.999981327468505	0.964682538301018	10	4000	3509	0.12272	422	11670
Simulated	0.100314960946463	0.132968945797818	0.652978995254485	15	500	492	0.01534	59	5605
Simulated	0.537730935625486	0.604321965662994	0.855552129893706	15	1000	969	0.03068	117	8010
Simulated	0.796053777480637	0.852212095740626	0.92662908724957	15	1500	1431	0.04602	172	9275
Simulated	0.927541049452675	0.970485671245351	0.955101753189842	15	2000	1877	0.06136	226	10115
Simulated	0.965122067752458	0.997226531080941	0.967809113077185	15	2500	2308	0.0767	278	10717
Simulated	0.974421090088022	0.99985655774631	0.974562721347557	15	3000	2724	0.09204	328	11175
Simulated	0.978834702678663	0.999994966304526	0.978839712556274	15	3500	3124	0.10738	376	11539
Simulated	0.981922525807231	0.99999985826595	0.981922667297865	15	4000	3509	0.12272	422	11836
Simulated	0.0978472439521063	0.109846348523397	0.849661292236183	30	500	492	0.01534	59	5515
Simulated	0.572233997970429	0.5880958751184	0.954264624396938	30	1000	969	0.03068	117	7928
Simulated	0.824009004694887	0.841909220402694	0.974540070720361	30	1500	1431	0.04602	172	9201
Simulated	0.95895764785095	0.976224980824934	0.982385027909785	30	2000	1877	0.06136	226	10045
Simulated	0.986312329997097	0.999288874352666	0.987022127554947	30	2500	2308	0.0767	278	10651
Simulated	0.990070250091322	0.999994827855754	0.990075421383454	30	3000	2724	0.09204	328	11113
Simulated	0.992107064100524	0.999999985224438	0.992107078875892	30	3500	3124	0.10738	376	11479
Simulated	0.993475073611697	0.999999999975505	0.993475073636192	30	4000	3509	0.12272	422	11778
Simulated	0.110247587619125	0.113136579861918	0.957161261231959	60	500	492	0.01534	59	5550
Simulated	0.591307365906393	0.595200711020298	0.983732831059318	60	1000	969	0.03068	117	7964
Simulated	0.841406424608408	0.849284449071879	0.991083688772014	60	1500	1431	0.04602	172	9235
Simulated	0.981305313487128	0.987023870706481	0.994280072607727	60	2000	1877	0.06136	226	10078
Simulated	0.995770513313189	0.999967395508967	0.995803117793582	60	2500	2308	0.0767	278	10682
Simulated	0.9967335869954	0.999999996801159	0.996733590194242	60	3000	2724	0.09204	328	11142
Simulated	0.997427163788874	0.999999999999961	0.997427163788912	60	3500	3124	0.10738	376	11507
Simulated	0.997987856569214	1	0.997987856569214	60	4000	3509	0.12272	422	11806
