disease	n_donors	n_ever_smoker	pct_ever_smoker	n_female	age_median	mean_log10_counts	compartment	ever_smoker_constant_in_arm
Control	15	3	20	8	48	3.57228262171821	ATI	FALSE
COPD	15	14	93.3333333333333	8	62	3.65748676615766	ATI	FALSE
IPF	9	7	77.7777777777778	0	68	3.7889261919363	ATI	FALSE
Control	17	2	11.7647058823529	9	48	3.84898636534939	ATII	FALSE
COPD	14	13	92.8571428571429	8	61.5	3.79467673873592	ATII	FALSE
IPF	15	12	80	2	67	3.89304671940679	ATII	FALSE
Control	25	5	20	11	49	3.60188355793077	Endothelial	FALSE
COPD	17	16	94.1176470588235	9	62	3.57737817942402	Endothelial	FALSE
IPF	31	20	64.5161290322581	6	66	3.76010113004499	Endothelial	FALSE
Control	17	3	17.6470588235294	8	61	3.8452132432992	Fibroblast	FALSE
COPD	15	14	93.3333333333333	7	62	3.71185593132036	Fibroblast	FALSE
IPF	28	18	64.2857142857143	6	66	3.81783573479507	Fibroblast	FALSE
Control	6	1	16.6666666666667	3	62.5	3.53166540427792	Mural	FALSE
COPD	9	9	100	5	62	3.52495955668382	Mural	TRUE
IPF	21	12	57.1428571428571	5	66	3.62120596548451	Mural	FALSE
Control	12	2	16.6666666666667	7	63	3.63572357949262	Myofibroblast	FALSE
COPD	14	13	92.8571428571429	8	62	3.60742841182279	Myofibroblast	FALSE
IPF	28	18	64.2857142857143	6	66	3.8060920439469	Myofibroblast	FALSE
Control	1	1	100	0	65	3.69749088717106	Pericyte	TRUE
COPD	6	6	100	4	60.5	3.44434806836622	Pericyte	TRUE
IPF	15	9	60	4	66	3.65340781256195	Pericyte	FALSE
Control	5	1	20	3	61	3.53417936933157	SMC	FALSE
COPD	7	7	100	5	61	3.55683457834803	SMC	TRUE
IPF	16	9	56.25	3	65	3.61396706566507	SMC	FALSE
