compartment	contrast	n_control	n_disease	sd_log1p_cp10k	mde_80pct	estimable
ATI	COPD	15	15	0.00867165953835828	0.00887237149302573	TRUE
ATI	IPF	15	9	0.00867165953835828	0.0102449321396975	TRUE
ATII	COPD	17	14	0.0150304344419723	0.0151995955912119	TRUE
ATII	IPF	17	15	0.0150304344419723	0.014919166596481	TRUE
Endothelial	COPD	25	17	0.00863824535171721	0.00760893451189751	TRUE
Endothelial	IPF	25	31	0.00863824535171721	0.00650634110846435	TRUE
Fibroblast	COPD	17	15	0.139970142227155	0.138933966179227	TRUE
Fibroblast	IPF	17	28	0.139970142227155	0.120588617277983	TRUE
Mural	COPD	6	9	0.243262894288347	0.359246669144825	TRUE
Mural	IPF	6	21	0.243262894288347	0.315529965562457	TRUE
Myofibroblast	COPD	12	14	0.182836258400616	0.201540573147465	TRUE
Myofibroblast	IPF	12	28	0.182836258400616	0.17676277589472	TRUE
Pericyte	COPD	1	6	0.247959148994665		FALSE
Pericyte	IPF	1	15	0.247959148994665		FALSE
SMC	COPD	5	7	0.129458353556091	0.212400146121047	TRUE
SMC	IPF	5	16	0.129458353556091	0.185850127855917	TRUE
