contrast	estimate	se	df	t.ratio	p.value	gene	compartment	model_arm	covariates	n_model_donors	ci_lo	ci_hi
COPD	0.0136439197928433	0.00955346326527607	32	1.42816478317709	0.162932412549774	ACE	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	39	-0.00508086820709777	0.0323687077927844
COPD	0.0112322756364494	0.00739798489925502	33	1.51828853254087	0.138464847465582	ACE	ATI	no_smoking	mean_log10_counts+sex+age	39	-0.00326777476609045	0.0257323260389892
COPD	0.0108336017715773	0.00619917463045331	36	1.74758777053278	0.0890614711067506	ACE	ATI	unadjusted	none	39	-0.00131678050411121	0.0229839840472657
IPF	0.00727527000386816	0.0104113024596355	32	0.698785769799145	0.489733858865869	ACE	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	39	-0.0131308828170175	0.0276814228247538
IPF	0.0060060428661073	0.00980679188224713	33	0.612437067924304	0.544446056856101	ACE	ATI	no_smoking	mean_log10_counts+sex+age	39	-0.0132152692230971	0.0252273549553117
IPF	0.00427857419490202	0.00715819028329143	36	0.597717303616394	0.553770229680991	ACE	ATI	unadjusted	none	39	-0.00975147876034917	0.0183086271501532
COPD	0.0279325537393088	0.0227019611464673	39	1.23040267574661	0.225916269137599	ACE	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	46	-0.0165632901077671	0.0724283975863846
COPD	-0.00266691225104478	0.0175168958256364	40	-0.152247994027669	0.879756703827887	ACE	ATII	no_smoking	mean_log10_counts+sex+age	46	-0.0370000280692921	0.0316662035672025
COPD	-0.00304260168042373	0.0156169879992382	43	-0.194826408304351	0.846446465570773	ACE	ATII	unadjusted	none	46	-0.0336518981589306	0.0275666947980832
IPF	0.0383587966256764	0.0219438423301294	39	1.74804375863606	0.088325857137171	ACE	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	46	-0.00465113434137712	0.08136872759273
IPF	0.0151421167963598	0.0193815585716414	40	0.781264145522092	0.439246904439656	ACE	ATII	no_smoking	mean_log10_counts+sex+age	46	-0.0228457380040574	0.053129971596777
IPF	0.0150162785252698	0.0153288582118981	43	0.97960841686267	0.332759060765176	ACE	ATII	unadjusted	none	46	-0.0150282835700504	0.04506084062059
COPD	0.0478004677484642	0.105607701482111	66	0.452622934479462	0.652304625392947	ACE	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	73	-0.159190627156473	0.254791562653402
COPD	0.100717121897594	0.0924979843510871	67	1.08885747731875	0.280117861846846	ACE	Endothelial	no_smoking	mean_log10_counts+sex+age	73	-0.0805789274305364	0.282013171225725
COPD	0.149205300279707	0.086735243407888	70	1.72023844538075	0.0898073974416498	ACE	Endothelial	unadjusted	none	73	-0.020795776799754	0.319206377359167
IPF	0.0902203837127489	0.100767390118288	66	0.895333139092338	0.373862822827274	ACE	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	73	-0.107283700919095	0.287724468344593
IPF	0.118254002684382	0.097123425613581	67	1.21756416577471	0.227660523371918	ACE	Endothelial	no_smoking	mean_log10_counts+sex+age	73	-0.072107911518237	0.308615916887
IPF	0.0179145047507197	0.0741666364528444	70	0.241543982678921	0.809839706791046	ACE	Endothelial	unadjusted	none	73	-0.127452102696855	0.163281112198295
COPD	-0.0574406968313163	0.0366558543374586	53	-1.56702654649677	0.123060257643174	ACE	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	60	-0.129286171332735	0.0144047776701026
COPD	-0.0200894593035005	0.0324005710309539	54	-0.620034112494746	0.537843144384467	ACE	Fibroblast	no_smoking	mean_log10_counts+sex+age	60	-0.0835945785241701	0.0434156599171691
COPD	-0.0127580892052975	0.0287714034372916	57	-0.443429505727945	0.659133710071456	ACE	Fibroblast	unadjusted	none	60	-0.0691500399423891	0.0436338615317941
IPF	-0.00239467055723934	0.0307260909365784	53	-0.07793606294345	0.938172407060532	ACE	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	60	-0.0626178087929329	0.0578284676784542
IPF	0.0163659364288711	0.0300589625911451	54	0.544461119682561	0.588365584117606	ACE	Fibroblast	no_smoking	mean_log10_counts+sex+age	60	-0.0425496302497734	0.0752815031075155
IPF	0.0193494266220291	0.0249723221258528	57	0.774834896190829	0.441639730064356	ACE	Fibroblast	unadjusted	none	60	-0.0295963247446424	0.0682951779887006
COPD	-0.0160943218226442	0.0494271197964075	29	-0.325617229750335	0.74705183877495	ACE	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.112971476623603	0.0807828329783145
COPD	0.000391531397606512	0.0411712297746156	30	0.00950983003786575	0.992475327526939	ACE	Mural	no_smoking	mean_log10_counts+sex+age	36	-0.0803040789606401	0.0810871417558531
COPD	0.00741459494477168	0.0415783908301605	33	0.178328088142199	0.859555581121614	ACE	Mural	unadjusted	none	36	-0.0740790510823429	0.0889082409718862
IPF	-0.00142104963798293	0.0401909903880463	29	-0.0353574177760392	0.97203699599748	ACE	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.0801953907985537	0.0773532915225879
IPF	0.00504170615703815	0.0384032477213596	30	0.131283327744023	0.896427652477589	ACE	Mural	no_smoking	mean_log10_counts+sex+age	36	-0.0702286593768267	0.080312071690903
IPF	-0.00155119361129879	0.0365187191798126	33	-0.0424766707633132	0.966374682855163	ACE	Mural	unadjusted	none	36	-0.0731278832037315	0.0700254959811339
COPD	-0.0051511440888257	0.0166800439761499	47	-0.308820773865531	0.758822658185521	ACE	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	54	-0.0378440302820795	0.0275417421044281
COPD	-0.000750747655294469	0.0143611619490543	48	-0.0522762474204886	0.958525535023312	ACE	Myofibroblast	no_smoking	mean_log10_counts+sex+age	54	-0.0288986250754409	0.027397129764852
COPD	-0.00244761474763436	0.0133598924169013	51	-0.183206171970213	0.855362662598388	ACE	Myofibroblast	unadjusted	none	54	-0.0286330038847608	0.0237377743894921
IPF	0.0330446875431941	0.0150823934585304	47	2.19094453635967	0.0334490362924832	ACE	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	54	0.00348319636447448	0.0626061787219138
IPF	0.0351660125401431	0.0144330317693812	48	2.43649519394433	0.0185899212005944	ACE	Myofibroblast	no_smoking	mean_log10_counts+sex+age	54	0.00687727027215597	0.0634547548081301
IPF	0.0308149581256433	0.0117174007813224	51	2.62984587629386	0.0112648354667565	ACE	Myofibroblast	unadjusted	none	54	0.00784885259425133	0.0537810636570353
COPD	0.0573209690231515	0.200241436911701	15	0.286259277336428	0.7785952643815	ACE	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	22	-0.335152247323783	0.449794185370086
COPD	0.0665012003847314	0.196811622371868	16	0.337892648733314	0.739836788639397	ACE	Pericyte	no_smoking	mean_log10_counts+sex+age	22	-0.319249579464131	0.452251980233594
COPD	0.0987531457010556	0.158714428792356	19	0.622206477712578	0.541201748816213	ACE	Pericyte	unadjusted	none	22	-0.212327134731963	0.409833426134074
