compartment	Control	COPD	IPF
ATI	15	15	9
ATII	17	14	15
Endothelial	25	17	31
Fibroblast	17	15	28
Mural	6	9	21
Myofibroblast	12	14	28
Pericyte	1	6	15
SMC	5	7	16
