compartment	disease	n_donors	n_cells	mean_AGTR1	sd_AGTR1	detect_AGTR1
ATI	Control	15	483	0.00361029976398932	0.0139826308607472	0.00136054421768707
ATI	COPD	15	370	0	0	0
ATI	IPF	9	132	0	0	0
ATII	Control	17	2634	0	0	0
ATII	COPD	14	802	0.00349261330832869	0.013068162384253	0.00264550264550265
ATII	IPF	15	459	0.00854357611924845	0.0229312846836798	0.00751633986928105
Endothelial	Control	25	2181	0.00197271825959982	0.00986359129799912	0.000459770114942529
Endothelial	COPD	17	1146	0	0	0
Endothelial	IPF	31	4108	0.0038135998462973	0.00978773277526652	0.0018807217703133
Fibroblast	Control	17	823	0.214085085790859	0.1312131675389	0.138528376707731
Fibroblast	COPD	15	353	0.168443549871042	0.136712685401886	0.0805533274724377
Fibroblast	IPF	28	1436	0.24441907749093	0.144300643292236	0.14265249079247
Mural	Control	6	68	0.0797964223185192	0.132824178491557	0.0357142857142857
Mural	COPD	9	137	0.356847794227072	0.293776459515048	0.124846839320524
Mural	IPF	21	1118	0.351116437390605	0.214427318469896	0.137841103459141
Myofibroblast	Control	12	182	0.281545277148261	0.283081117164982	0.0963612776112776
Myofibroblast	COPD	14	424	0.152368619110582	0.163194706984055	0.0760592063641714
Myofibroblast	IPF	28	2880	0.13939955641087	0.116297509538916	0.0767019524954176
Pericyte	Control	1	7	0.453224936471382		0.285714285714286
Pericyte	COPD	6	57	0.781057154507232	0.255251756576148	0.259290382819795
Pericyte	IPF	15	556	0.579912969226005	0.232935160612566	0.258140436607418
SMC	Control	5	50	0	0	0
SMC	COPD	7	66	0.110856824696537	0.204384204844202	0.0568181818181818
SMC	IPF	16	532	0.112607135803975	0.100088202827393	0.0513375275982319
