quantity	compartment	arm	n_ctl	n_dis	ctl_mean	dis_mean	diff
old: all cells (floor 1)	Fibroblast	COPD	26	17	0.10035786369457043	0.10956027703935159	0.009202413344781155
old: all cells (floor 1)	Fibroblast	IPF	26	31	0.10035786369457043	0.14437082077110006	0.04401295707652962
old: all cells (floor 1)	Myofibroblast	COPD	22	17	0.06792552893153905	0.17965705226644738	0.11173152333490832
old: all cells (floor 1)	Myofibroblast	IPF	22	31	0.06792552893153905	0.07248638730004565	0.004560858368506601
old: all cells (floor 1)	Pericyte	COPD	11	13	0.47807991345341294	0.41632916473053083	-0.06175074872288211
old: all cells (floor 1)	Pericyte	IPF	11	26	0.47807991345341294	0.31439412023689045	-0.1636857932165225
old: filter_cells (floor 1)	Fibroblast	COPD	16	12	0.9842173411824613	1.267235736422771	0.2830183952403098
old: filter_cells (floor 1)	Fibroblast	IPF	16	27	0.9842173411824613	1.028719815756966	0.044502474574504625
old: filter_cells (floor 1)	Myofibroblast	COPD	9	10	1.2122636346662745	1.2894302554874528	0.07716662082117831
old: filter_cells (floor 1)	Myofibroblast	IPF	9	23	1.2122636346662745	1.0393858581628914	-0.1728777765033831
old: filter_cells (floor 1)	Pericyte	COPD	5	9	1.6671153616310441	1.5359987598783382	-0.1311166017527059
old: filter_cells (floor 1)	Pericyte	IPF	5	19	1.6671153616310441	1.3008800463707069	-0.36623531526033726
new: pseudobulk (floor 1)	Fibroblast	COPD	26	17	0.15839741823887243	0.18310953290110016	0.024712114662227724
new: pseudobulk (floor 1)	Fibroblast	IPF	26	31	0.15839741823887243	0.23232641240339277	0.07392899416452034
new: pseudobulk (floor 1)	Myofibroblast	COPD	22	17	0.15357015117177888	0.23133354867236913	0.07776339750059025
new: pseudobulk (floor 1)	Myofibroblast	IPF	22	31	0.15357015117177888	0.12590927675820507	-0.027660874413573816
new: pseudobulk (floor 1)	Pericyte	COPD	11	13	0.5680902387507204	0.643880537982186	0.07579029923146563
new: pseudobulk (floor 1)	Pericyte	IPF	11	26	0.5680902387507204	0.47541580433573283	-0.09267443441498757
new: pseudobulk (floor 5)	Fibroblast	COPD	17	15	0.2140850857908587	0.16844354987104201	-0.04564153591981668
new: pseudobulk (floor 5)	Fibroblast	IPF	17	28	0.2140850857908587	0.24441907749092967	0.030333991700070978
new: pseudobulk (floor 5)	Myofibroblast	COPD	12	14	0.2815452771482613	0.15236861911058155	-0.12917665803767972
new: pseudobulk (floor 5)	Myofibroblast	IPF	12	28	0.2815452771482613	0.1393995564108699	-0.14214572073739137
new: pseudobulk (floor 5)	Pericyte	COPD	1	6	0.4532249364713822	0.781057154507232	0.32783221803584983
new: pseudobulk (floor 5)	Pericyte	IPF	1	15	0.4532249364713822	0.5799129692260051	0.12668803275462293
