gse_compartment	gse_contrast	gse_estimate_log1p_cp10k	gse_p	gse_sign	hlca_cell_types	hlca_contrast	hlca_estimate_sd_units	hlca_p	hlca_sign	hlca_is_null	agreement	mapping_confidence	scale_note
Myofibroblast	IPF	-0.172972635133012	0.028125042863402	-	Myofibroblasts	Fibrotic_ILD - Healthy	+0.298	0.505	+	TRUE	OPPOSITE sign, against a NON-SIGNIFICANT HLCA estimate -- no directional finding to replicate	name-matched only; populations not established as equivalent	NOT COMPARABLE IN MAGNITUDE: HLCA is within-cell-type SD, GSE136831 is log1p CP10K. Signs only.
Myofibroblast	COPD	-0.181472843221173	0.0367941878184949	-							NO HLCA COMPARATOR -- HLCA/05 excludes COPD; its 'Other' arm is COVID-dominated, not COPD	name-matched only; populations not established as equivalent	NOT COMPARABLE IN MAGNITUDE: HLCA is within-cell-type SD, GSE136831 is log1p CP10K. Signs only.
Fibroblast	IPF	0.0270763438696585	0.611268198089993	+	Peribronchial fibroblasts; Alveolar fibroblasts; Adventitial fibroblasts	Fibrotic_ILD - Healthy	-0.654; -0.152; -0.107	0.030; 0.501; 0.607	-	FALSE	OPPOSITE sign, against an HLCA estimate significant at nominal alpha but NOT after BH (min BH in that analysis is 0.199)	one GSE136831 class vs three HLCA subtypes; range reported, not a mean	NOT COMPARABLE IN MAGNITUDE: HLCA is within-cell-type SD, GSE136831 is log1p CP10K. Signs only.
Fibroblast	COPD	-0.0869842542995054	0.174347582607307	-							NO HLCA COMPARATOR -- HLCA/05 excludes COPD; its 'Other' arm is COVID-dominated, not COPD	one GSE136831 class vs three HLCA subtypes; range reported, not a mean	NOT COMPARABLE IN MAGNITUDE: HLCA is within-cell-type SD, GSE136831 is log1p CP10K. Signs only.
