test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
EFEMP2	0.61531193187255	0.0751574901326398	0.072818699621447	0.125727960674914	1	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
TGFB1	0.880358338914937	0.0158854251115114	0.0135466346003186	0.0921107447585271	2	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
TIMP1	0.654901444837811	0.0126530392156095	0.0103142487044167	0.087126389607518	3	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
PDGFA	0.664146971581663	0.0112442741770883	0.00890548366589556	0.0339384860295681	4	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
COL1A2	0.718412113673341	0.00414187405937995	0.00180308354818716	0.0223621539160122	5	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
TGFB2	0.652760501387432	0.0040575609323631	0.00171877042117032	0.0164604506422756	6	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
ESAM	0.665055975504734	0.00405635558464985	0.00171756507345706	0.0257940701833632	7	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
CTSD	0.644304372787288	0.00403362975261036	0.00169483924141757	0.0198057287559818	8	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
COL18A1	0.662843268586737	0.00394201566407352	0.00160322515288074	0.0186384635965049	9	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
COL1A1	0.681226676873025	0.00390671547992501	0.00156792496873223	0.0147985821574617	10	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
CFH	0.70285140177974	0.00387511568957416	0.00153632517838138	0.0215377952172633	11	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
SLIT3	0.645057889197204	0.00387483314220971	0.00153604263101693	0.0192859423936918	12	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
ENG	0.687733231269734	0.00386233943486619	0.0015235489236734	0.0173045184025129	13	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE
