test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand	null_mean	null_sd	z	p_emp	p_emp_at_floor	n_perm	rank_by_z	p_emp_BH
EFEMP2	0.61531193187255	0.0751574901326398	0.072818699621447	0.125727960674914	1	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000525014843610232	0.00171463858680587	42.1626372660316	0.000999000999000999	TRUE	1000	1	0.024975024975025
TIMP1	0.654901444837811	0.0126530392156095	0.0103142487044167	0.087126389607518	3	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000487407030067348	0.00176451139166459	5.5691574000432	0.00699300699300699	FALSE	1000	2	0.0874125874125874
TGFB1	0.880358338914937	0.0158854251115114	0.0135466346003186	0.0921107447585271	2	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000722422789221828	0.00432873412498216	2.96257784396718	0.010989010989011	FALSE	1000	3	0.0915750915750916
PDGFA	0.664146971581663	0.0112442741770883	0.00890548366589556	0.0339384860295681	4	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000746488305194729	0.00381195419806263	2.14037077487645	0.016983016983017	FALSE	1000	4	0.106143856143856
CTSD	0.644304372787288	0.00403362975261036	0.00169483924141757	0.0198057287559818	8	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.00054958817367987	0.00271378377433005	0.422012644695848	0.0949050949050949	FALSE	1000	5	0.143856143856144
COL1A2	0.718412113673341	0.00414187405937995	0.00180308354818716	0.0223621539160122	5	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000623051489840247	0.00351526413182443	0.335688020613824	0.0909090909090909	FALSE	1000	6	0.143856143856144
COL18A1	0.662843268586737	0.00394201566407352	0.00160322515288074	0.0186384635965049	9	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000639460677393848	0.00355369636195557	0.271200569020067	0.10989010989011	FALSE	1000	7	0.143856143856144
LAMB1	0.675497560042104	0.0038599954487255	0.00152120493753271	0.0206752829231524	14	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000586510522352729	0.0034586303945806	0.270249870192714	0.110889110889111	FALSE	1000	8	0.143856143856144
ENG	0.687733231269734	0.00386233943486619	0.0015235489236734	0.0173045184025129	13	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000615617362159423	0.0035526506010557	0.255564552631261	0.108891108891109	FALSE	1000	9	0.143856143856144
LAMB2	0.6472347143814	0.00385515335412552	0.00151636284293274	0.020233081149565	15	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000620795502269657	0.00356885045792984	0.250940001891413	0.111888111888112	FALSE	1000	10	0.143856143856144
COL1A1	0.681226676873025	0.00390671547992501	0.00156792496873223	0.0147985821574617	10	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000629575744884717	0.0037431834174836	0.250682138487973	0.103896103896104	FALSE	1000	11	0.143856143856144
CFH	0.70285140177974	0.00387511568957416	0.00153632517838138	0.0215377952172633	11	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000640803197245241	0.00358843847905854	0.24955756838587	0.104895104895105	FALSE	1000	12	0.143856143856144
ESAM	0.665055975504734	0.00405635558464985	0.00171756507345706	0.0257940701833632	7	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000682014845393315	0.00417638549102232	0.247953698309172	0.0919080919080919	FALSE	1000	13	0.143856143856144
TGFB2	0.652760501387432	0.0040575609323631	0.00171877042117032	0.0164604506422756	6	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000705216261961094	0.00421655333959939	0.240375035622227	0.101898101898102	FALSE	1000	14	0.143856143856144
LGALS3	0.634831595062676	0.00376621367952068	0.0014274231683279	0.0110231208792152	18	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000628524639248805	0.00356442784576991	0.224130930305459	0.114885114885115	FALSE	1000	15	0.143856143856144
ADAM9	0.684240742512677	0.00369016478553225	0.00135137427433946	0.0130407754804593	22	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000583724145491356	0.00344317539773333	0.222948307935012	0.124875124875125	FALSE	1000	16	0.143856143856144
COL21A1	0.633420246866327	0.00377780812518035	0.00143901761398757	0.0186609307392058	17	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000648802012294028	0.0035705203292675	0.221316651025946	0.120879120879121	FALSE	1000	17	0.143856143856144
HSPG2	0.654327337096929	0.00376234000409993	0.00142354949290715	0.0191770976587084	19	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000631722005750888	0.00358084498419456	0.221128669532274	0.121878121878122	FALSE	1000	18	0.143856143856144
SEMA6D	0.619725385130606	0.00368883779131807	0.00135004728012529	0.0191201873444836	23	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000647059690939283	0.0035433782836888	0.198394733190657	0.140859140859141	FALSE	1000	19	0.143856143856144
ANXA1	0.677471055401392	0.00380114441811394	0.00146235390692116	0.0165521670735381	16	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000718569964038138	0.00379354586820356	0.196065625334126	0.112887112887113	FALSE	1000	20	0.143856143856144
SLIT3	0.645057889197204	0.00387483314220971	0.00153604263101693	0.0192859423936918	12	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000717764887735059	0.0042232902751721	0.193753611512892	0.116883116883117	FALSE	1000	21	0.143856143856144
A2M	0.667866711319483	0.00366303971487605	0.00132424920368327	0.0187855592080933	24	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.00064197525839453	0.00356565008381052	0.191346298501508	0.131868131868132	FALSE	1000	22	0.143856143856144
IFITM1	0.59979906229069	0.00369337159998968	0.0013545810887969	0.0171189181758508	21	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000668208861486987	0.00359306177852565	0.191027115484652	0.135864135864136	FALSE	1000	23	0.143856143856144
SDC2	0.620478901540518	0.00359092893576916	0.00125213842457637	0.0162959955011266	25	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.000659939108841638	0.00357067697689359	0.16585071110239	0.143856143856144	FALSE	1000	24	0.143856143856144
COL12A1	0.668656109463201	0.00374533447701879	0.001406543965826	0.0166203867325061	20	Adventitial fibroblasts	fibroblast_matrix	FALSE	FALSE	0.00092639787530304	0.00589648406796351	0.0814292186646731	0.133866133866134	FALSE	1000	25	0.143856143856144
