test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
COL18A1	0.739738522347219	0.106619414994751	0.103588193412453	0.196781730501773	1	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
PTN	0.689814533292795	0.105775779865804	0.102744558283506	0.174535665674618	2	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
ANGPT1	0.773639404074188	0.0114443927983818	0.00841317121608409	0.0683382532174945	3	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
ADAM17	0.724262693827913	0.010407672205465	0.00737645062316733	0.0641070570267554	4	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
TGFB1	0.83526907874734	0.00972941222550558	0.00669819064320791	0.0443896480539094	5	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
CALR	0.662785041045912	0.00912581412106031	0.00609459253876265	0.0330196239334876	6	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
MPDZ	0.774673152934024	0.00742345133005032	0.00439222974775265	0.0408827294919791	7	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
ANGPT2	0.701155366372761	0.00684628134571172	0.00381505976341405	0.0169227843424055	8	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
COL12A1	0.757859531772576	0.00650747346751519	0.00347625188521753	0.0281125980698092	9	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
TGFB2	0.710489510489511	0.00650267929714274	0.00347145771484507	0.0287519961443445	10	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
ADAM9	0.75226512617817	0.00632876211978065	0.00329754053748298	0.0279539534701842	11	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
TGFBI	0.69847978108848	0.00627700045681146	0.0032457788745138	0.0284487149557793	12	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
IFITM1	0.684980237154153	0.00614961101374011	0.00311838943144244	0.0303772317149231	13	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE
