ligand	target	weight	target_cell
COL4A1	CDKN1A	0.0185963911007943	AT2
COL4A1	SOX4	0.0236463468727844	AT2
SEMA5A	CDKN1A	0.0133566810423498	AT2
SEMA5A	LCN2	0.0227492292530849	AT2
LAMA4	CDKN1A	0.0271874295169842	AT2
LAMA4	KRT19	0.00942842444747012	AT2
LAMA4	SFN	0.00884816868146432	AT2
EDIL3	CDKN1A	0.0207676128486835	AT2
EDIL3	KRT18	0.00817844050196415	AT2
EDIL3	KRT19	0.00858514591494462	AT2
EDIL3	LCN2	0.00804161955416448	AT2
COL6A2	CDKN1A	0.0168776051678939	AT2
COL6A2	KRT19	0.00605314694346953	AT2
COL6A2	KRT8	0.00620806562233844	AT2
EFEMP1	CDKN1A	0.0252567942444472	AT2
EFEMP1	KRT19	0.00901144512831596	AT2
EFEMP1	KRT8	0.00857088970249394	AT2
COL3A1	CDKN1A	0.0225901483423813	AT2
COL3A1	KRT19	0.00820689295497495	AT2
COL1A2	CDKN1A	0.0253206671924848	AT2
COL1A2	KRT18	0.00915116218278942	AT2
COL1A2	KRT8	0.0102673540020824	AT2
FBLN1	CDKN1A	0.0305699717684404	AT2
FBLN1	KRT19	0.00990832589056496	AT2
FBLN1	KRT8	0.00977547242893442	AT2
TSPAN3	CDKN1A	0.0202807943289045	AT2
TSPAN3	CLDN4	0.00730618690463764	AT2
LUM	CDKN1A	0.0180616891832611	AT2
LUM	KRT19	0.00622976044325634	AT2
LGALS1	CDKN1A	0.0766073043882943	AT2
COL21A1	CDKN1A	0.0200632272650944	AT2
COL21A1	KRT19	0.00538622074711322	AT2
HSPG2	CDKN1A	0.0171965094942304	AT2
COL5A3	CDKN1A	0.0186977584072734	AT2
LAMB2	CDKN1A	0.0224040163954254	AT2
IGFBP4	CDKN1A	0.029238547379231	AT2
DCN	CDKN1A	0.080589348461741	AT2
LAMA2	CDKN1A	0.0544796965379171	AT2
SEMA6D	CDKN1A	0.0189458146471933	AT2
SEMA6D	KRT18	0.00771462564835252	AT2
