test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
LAMA4	0.94013651113349	0.137848343847324	0.136038934920907	0.141076136887058	1	AT1	epithelial_repair	FALSE	FALSE
COL4A1	0.889918317108653	0.133658647076059	0.131849238149642	0.140736836092806	2	AT1	epithelial_repair	FALSE	FALSE
COL6A2	0.904330312185302	0.129751710161199	0.127942301234781	0.125261625741762	3	AT1	epithelial_repair	FALSE	FALSE
EFEMP1	0.864831598970582	0.128330237645589	0.126520828719171	0.123906204910336	4	AT1	epithelial_repair	FALSE	FALSE
COL3A1	0.888486069150729	0.127116039705169	0.125306630778752	0.123254677726883	5	AT1	epithelial_repair	FALSE	FALSE
COL1A2	0.876132930513603	0.127015715782874	0.125206306856457	0.114711188739253	6	AT1	epithelial_repair	FALSE	FALSE
LAMB1	0.876714781246507	0.126201009335441	0.124391600409023	0.112848745036869	7	AT1	epithelial_repair	FALSE	FALSE
EDIL3	0.85547722949536	0.126188093058695	0.124378684132278	0.112915413831736	8	AT1	epithelial_repair	FALSE	FALSE
FBLN1	0.860400581850744	0.125674739564942	0.123865330638525	0.111442206681297	9	AT1	epithelial_repair	FALSE	FALSE
CTSD	0.843996866957601	0.125364217244469	0.123554808318052	0.104805865064537	10	AT1	epithelial_repair	FALSE	FALSE
TSPAN3	0.881906680093991	0.125010540196022	0.123201131269605	0.114662488837748	11	AT1	epithelial_repair	FALSE	FALSE
LGALS1	0.904554100928726	0.124648988355382	0.122839579428965	0.165644995281422	12	AT1	epithelial_repair	FALSE	FALSE
COL21A1	0.876893812241248	0.123760108809343	0.121950699882925	0.131285050233236	13	AT1	epithelial_repair	FALSE	FALSE
LUM	0.886718138077658	0.123384832019315	0.121575423092898	0.116802744255668	14	AT1	epithelial_repair	FALSE	FALSE
HSPG2	0.879959718026186	0.123151846391068	0.121342437464651	0.11052586656977	15	AT1	epithelial_repair	FALSE	FALSE
NEGR1	0.890231621349449	0.122712024661866	0.120902615735448	0.113138307134604	16	AT1	epithelial_repair	FALSE	FALSE
COL5A3	0.893856998992954	0.122659338397797	0.120849929471379	0.117941797533147	17	AT1	epithelial_repair	FALSE	FALSE
CNTN4	0.852321808213048	0.122621375439981	0.120811966513564	0.102874132969726	18	AT1	epithelial_repair	FALSE	FALSE
LAMA2	0.842900302114808	0.122506478827045	0.120697069900628	0.0693747953343203	19	AT1	epithelial_repair	FALSE	FALSE
IGFBP4	0.871701913393758	0.122259600028248	0.12045019110183	0.104174960909738	20	AT1	epithelial_repair	FALSE	FALSE
TIMP3	0.868121293498943	0.12214244102228	0.120333032095863	0.102110148901576	21	AT1	epithelial_repair	FALSE	FALSE
DCN	0.908112341949201	0.122046047903923	0.120236638977506	0.193597574997483	22	AT1	epithelial_repair	FALSE	FALSE
IFITM1	0.893252769385702	0.121974777016318	0.1201653680899	0.107000497467367	23	AT1	epithelial_repair	FALSE	FALSE
LAMB2	0.855499608369706	0.121324190832287	0.11951478190587	0.104369273433425	24	AT1	epithelial_repair	FALSE	FALSE
COL6A3	0.852545596956475	0.121047098923488	0.119237689997071	0.104997079153889	25	AT1	epithelial_repair	FALSE	FALSE
PTPRK	0.843705941591142	0.120928129864534	0.119118720938117	0.107362596423202	26	AT1	epithelial_repair	FALSE	FALSE
SEMA6D	0.857021371824997	0.120496618068382	0.118687209141965	0.0978258070580784	27	AT1	epithelial_repair	FALSE	FALSE
NUCB2	0.833075976278403	0.119540424001854	0.117731015075437	0.0984394426934583	28	AT1	epithelial_repair	FALSE	FALSE
NID1	0.808862034239684	0.119045853134202	0.117236444207784	0.0988306298926413	29	AT1	epithelial_repair	FALSE	FALSE
SDC2	0.84435492894708	0.118296791818489	0.116487382892071	0.0899525883665674	30	AT1	epithelial_repair	FALSE	FALSE
CLEC11A	0.773660064898738	0.115862480887938	0.11405307196152	0.0692251245630003	31	AT1	epithelial_repair	FALSE	FALSE
COL1A1	0.885890119726985	0.0878775284000835	0.0860681194736661	0.125490862163566	32	AT1	epithelial_repair	FALSE	FALSE
UXS1	0.882063332214397	0.05092962776762	0.0491202188412026	0.120172374091595	33	AT1	epithelial_repair	FALSE	FALSE
ADAM10	0.87232852187535	0.0467361473009307	0.0449267383745134	0.109301838858025	34	AT1	epithelial_repair	FALSE	FALSE
