ligand	target	weight	target_cell
LAMA4	CDKN1A	0.0271874295169842	AT1
LAMA4	KRT19	0.00942842444747012	AT1
LAMA4	SFN	0.00884816868146432	AT1
FBLN1	CDKN1A	0.0305699717684404	AT1
FBLN1	KRT19	0.00990832589056496	AT1
FBLN1	KRT8	0.00977547242893442	AT1
COL6A2	CDKN1A	0.0168776051678939	AT1
COL6A2	KRT19	0.00605314694346953	AT1
COL6A2	KRT8	0.00620806562233844	AT1
COL1A2	CDKN1A	0.0253206671924848	AT1
COL1A2	KRT18	0.00915116218278942	AT1
COL1A2	KRT8	0.0102673540020824	AT1
CTSD	CDKN1A	0.0262581245161937	AT1
CTSD	KRT18	0.0115501218390374	AT1
EDIL3	CDKN1A	0.0207676128486835	AT1
EDIL3	KRT18	0.00817844050196415	AT1
EDIL3	KRT19	0.00858514591494462	AT1
CNTN4	CDKN1A	0.0210742689633629	AT1
CNTN4	KRT18	0.00867645168868647	AT1
COL3A1	CDKN1A	0.0225901483423813	AT1
COL3A1	KRT19	0.00820689295497495	AT1
LAMB1	CDKN1A	0.0188239087204808	AT1
LAMB1	KRT8	0.00703043211061266	AT1
LUM	CDKN1A	0.0180616891832611	AT1
LUM	KRT19	0.00622976044325634	AT1
TSPAN3	CDKN1A	0.0202807943289045	AT1
TSPAN3	CLDN4	0.00730618690463764	AT1
LGALS1	CDKN1A	0.0766073043882943	AT1
EFEMP1	CDKN1A	0.0252567942444472	AT1
EFEMP1	KRT19	0.00901144512831596	AT1
EFEMP1	KRT8	0.00857088970249394	AT1
HSPG2	CDKN1A	0.0171965094942304	AT1
COL21A1	CDKN1A	0.0200632272650944	AT1
COL21A1	KRT19	0.00538622074711322	AT1
DCN	CDKN1A	0.080589348461741	AT1
TIMP3	CDKN1A	0.0271199358998254	AT1
LAMB2	CDKN1A	0.0224040163954254	AT1
IGFBP4	CDKN1A	0.029238547379231	AT1
COL5A3	CDKN1A	0.0186977584072734	AT1
