test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
SEMA5A	0.883234791748778	0.128316513924596	0.127004350166559	0.13898840226729	1	AT2	epithelial_repair	FALSE	FALSE
COL4A1	0.903166469583494	0.1176935125603	0.116381348802263	0.120768864139954	2	AT2	epithelial_repair	FALSE	FALSE
LAMA4	0.93058730784391	0.116256668446233	0.114944504688196	0.112620994336409	3	AT2	epithelial_repair	FALSE	FALSE
EDIL3	0.880633293916696	0.114889088523826	0.113576924765789	0.101826215262428	4	AT2	epithelial_repair	FALSE	FALSE
COL6A2	0.914189988175004	0.113748278654897	0.11243611489686	0.104488598039731	5	AT2	epithelial_repair	FALSE	FALSE
EFEMP1	0.876126658783327	0.112206779391056	0.110894615633019	0.102547599016451	6	AT2	epithelial_repair	FALSE	FALSE
COL1A2	0.891722506897901	0.112187553433662	0.110875389675625	0.0979397636411692	7	AT2	epithelial_repair	FALSE	FALSE
COL3A1	0.899264222835363	0.111606086157999	0.110293922399962	0.101627456770097	8	AT2	epithelial_repair	FALSE	FALSE
FBLN1	0.871922217842583	0.110649762159407	0.10933759840137	0.0944003974208891	9	AT2	epithelial_repair	FALSE	FALSE
LUM	0.90201024832479	0.109579099539827	0.10826693578179	0.0983997298707013	10	AT2	epithelial_repair	FALSE	FALSE
TSPAN3	0.877479963211141	0.109489486150741	0.108177322392704	0.0924037182192939	11	AT2	epithelial_repair	FALSE	FALSE
LGALS1	0.909092103534356	0.109437288609798	0.108125124851761	0.144541757546662	12	AT2	epithelial_repair	FALSE	FALSE
COL21A1	0.886480094599916	0.108971415168182	0.107659251410145	0.10760238112218	13	AT2	epithelial_repair	FALSE	FALSE
HSPG2	0.890986729733277	0.108652441313191	0.107340277555154	0.0914509048379546	14	AT2	epithelial_repair	FALSE	FALSE
DCN	0.91789515175404	0.108624498560811	0.107312334802774	0.158396919032233	15	AT2	epithelial_repair	FALSE	FALSE
COL5A3	0.902719747733541	0.108516529059495	0.107204365301458	0.0979533966225259	16	AT2	epithelial_repair	FALSE	FALSE
GPI	0.886072789383781	0.10796550446172	0.106653340703683	0.177200272821789	17	AT2	epithelial_repair	FALSE	FALSE
LAMA2	0.855393509394293	0.107831427583854	0.106519263825817	0.0535785684731835	18	AT2	epithelial_repair	FALSE	FALSE
LAMB2	0.872631717251338	0.107740364581195	0.106428200823158	0.087743095699072	19	AT2	epithelial_repair	FALSE	FALSE
IGFBP4	0.85959795033504	0.107641869433935	0.106329705675898	0.0829434729997312	20	AT2	epithelial_repair	FALSE	FALSE
