test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand	null_mean	null_sd	z	p_emp	p_emp_at_floor	n_perm	rank_by_z	p_emp_BH
COL4A1	0.903166469583494	0.1176935125603	0.116381348802263	0.120768864139954	2	AT2	epithelial_repair	FALSE	FALSE	0.000410539935086426	0.00154325923125241	75.1466808159391	0.000999000999000999	TRUE	1000	1	0.000999000999000999
SEMA5A	0.883234791748778	0.128316513924596	0.127004350166559	0.13898840226729	1	AT2	epithelial_repair	FALSE	FALSE	0.000498755117303421	0.0033585807497241	37.6663848441483	0.000999000999000999	TRUE	1000	2	0.000999000999000999
LAMA4	0.93058730784391	0.116256668446233	0.114944504688196	0.112620994336409	3	AT2	epithelial_repair	FALSE	FALSE	0.000903768238134712	0.00721317236380986	15.810066735994	0.000999000999000999	TRUE	1000	3	0.000999000999000999
EDIL3	0.880633293916696	0.114889088523826	0.113576924765789	0.101826215262428	4	AT2	epithelial_repair	FALSE	FALSE	0.000935384890657919	0.00720319910817757	15.6377101595391	0.000999000999000999	TRUE	1000	4	0.000999000999000999
COL6A2	0.914189988175004	0.113748278654897	0.11243611489686	0.104488598039731	5	AT2	epithelial_repair	FALSE	FALSE	0.000923309806412075	0.00719294754376701	15.5030749789186	0.000999000999000999	TRUE	1000	5	0.000999000999000999
EFEMP1	0.876126658783327	0.112206779391056	0.110894615633019	0.102547599016451	6	AT2	epithelial_repair	FALSE	FALSE	0.000928887358260286	0.00720531283423886	15.2617562629917	0.000999000999000999	TRUE	1000	6	0.000999000999000999
COL3A1	0.899264222835363	0.111606086157999	0.110293922399962	0.101627456770097	8	AT2	epithelial_repair	FALSE	FALSE	0.00091743530422376	0.00719191662835089	15.2082529244807	0.000999000999000999	TRUE	1000	7	0.000999000999000999
COL1A2	0.891722506897901	0.112187553433662	0.110875389675625	0.0979397636411692	7	AT2	epithelial_repair	FALSE	FALSE	0.00099366372948078	0.00731562734118523	15.0201371422429	0.000999000999000999	TRUE	1000	8	0.000999000999000999
FBLN1	0.871922217842583	0.110649762159407	0.10933759840137	0.0944003974208891	9	AT2	epithelial_repair	FALSE	FALSE	0.000937066535246782	0.00722730571977829	14.9987472606111	0.000999000999000999	TRUE	1000	9	0.000999000999000999
TSPAN3	0.877479963211141	0.109489486150741	0.108177322392704	0.0924037182192939	11	AT2	epithelial_repair	FALSE	FALSE	0.000914832983272423	0.00717496212340349	14.9495547941026	0.000999000999000999	TRUE	1000	10	0.000999000999000999
LUM	0.90201024832479	0.109579099539827	0.10826693578179	0.0983997298707013	10	AT2	epithelial_repair	FALSE	FALSE	0.00093736617859477	0.00719328005726241	14.9208106383728	0.000999000999000999	TRUE	1000	11	0.000999000999000999
LGALS1	0.909092103534356	0.109437288609798	0.108125124851761	0.144541757546662	12	AT2	epithelial_repair	FALSE	FALSE	0.000913118046520174	0.0072175644967219	14.8543191895182	0.000999000999000999	TRUE	1000	12	0.000999000999000999
COL21A1	0.886480094599916	0.108971415168182	0.107659251410145	0.10760238112218	13	AT2	epithelial_repair	FALSE	FALSE	0.000926836421118079	0.00719101350766291	14.8424717705356	0.000999000999000999	TRUE	1000	13	0.000999000999000999
HSPG2	0.890986729733277	0.108652441313191	0.107340277555154	0.0914509048379546	14	AT2	epithelial_repair	FALSE	FALSE	0.000922929942742706	0.00718725182584139	14.8064030857794	0.000999000999000999	TRUE	1000	14	0.000999000999000999
COL5A3	0.902719747733541	0.108516529059495	0.107204365301458	0.0979533966225259	16	AT2	epithelial_repair	FALSE	FALSE	0.000923081131302611	0.00718511503398673	14.7918695340893	0.000999000999000999	TRUE	1000	15	0.000999000999000999
LAMB2	0.872631717251338	0.107740364581195	0.106428200823158	0.087743095699072	19	AT2	epithelial_repair	FALSE	FALSE	0.000920375421847383	0.00717491963816799	14.7050881016209	0.000999000999000999	TRUE	1000	16	0.000999000999000999
IGFBP4	0.85959795033504	0.107641869433935	0.106329705675898	0.0829434729997312	20	AT2	epithelial_repair	FALSE	FALSE	0.000932156827281787	0.00717163585224792	14.696444579737	0.000999000999000999	TRUE	1000	17	0.000999000999000999
DCN	0.91789515175404	0.108624498560811	0.107312334802774	0.158396919032233	15	AT2	epithelial_repair	FALSE	FALSE	0.000994910477665483	0.00724261091694588	14.6794333624015	0.000999000999000999	TRUE	1000	18	0.000999000999000999
