test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand	null_mean	null_sd	z	p_emp	p_emp_at_floor	n_perm	rank_by_z	p_emp_BH
PTN	0.689814533292795	0.105775779865804	0.102744558283506	0.174535665674618	2	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00150848927439713	0.00828357109037655	12.2213074415116	0.002997002997003	FALSE	1000	1	0.0374625374625375
COL18A1	0.739738522347219	0.106619414994751	0.103588193412453	0.196781730501773	1	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00153371888124977	0.00836814188789233	12.1955956170944	0.002997002997003	FALSE	1000	2	0.0374625374625375
COL12A1	0.757859531772576	0.00650747346751519	0.00347625188521753	0.0281125980698092	9	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.0007337180155688	0.00206343530407821	1.32911066522334	0.0719280719280719	FALSE	1000	3	0.13986013986014
ADAM17	0.724262693827913	0.010407672205465	0.00737645062316733	0.0641070570267554	4	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00129337738514534	0.00649024798131108	0.937263607729385	0.036963036963037	FALSE	1000	4	0.13986013986014
ANGPT1	0.773639404074188	0.0114443927983818	0.00841317121608409	0.0683382532174945	3	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00138222415950091	0.00833783964550501	0.843257648925115	0.023976023976024	FALSE	1000	5	0.13986013986014
TGFB1	0.83526907874734	0.00972941222550558	0.00669819064320791	0.0443896480539094	5	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00135771294838773	0.00695171086111584	0.768224945127099	0.037962037962038	FALSE	1000	6	0.13986013986014
CALR	0.662785041045912	0.00912581412106031	0.00609459253876265	0.0330196239334876	6	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00112657374313556	0.00752288156066999	0.660387745780839	0.033966033966034	FALSE	1000	7	0.13986013986014
MPDZ	0.774673152934024	0.00742345133005032	0.00439222974775265	0.0408827294919791	7	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.0012126249644932	0.00630203763019971	0.504535988173509	0.058941058941059	FALSE	1000	8	0.13986013986014
ADAM9	0.75226512617817	0.00632876211978065	0.00329754053748298	0.0279539534701842	11	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00109132382965668	0.00512925714551777	0.430124020932391	0.0909090909090909	FALSE	1000	9	0.13986013986014
ANGPT2	0.701155366372761	0.00684628134571172	0.00381505976341405	0.0169227843424055	8	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.0014292269160356	0.00765716247837609	0.311581849557988	0.0779220779220779	FALSE	1000	10	0.13986013986014
TGFB2	0.710489510489511	0.00650267929714274	0.00347145771484507	0.0287519961443445	10	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00133708213478728	0.00686877379200705	0.310736041786888	0.0909090909090909	FALSE	1000	11	0.13986013986014
COL4A1	0.696351474612345	0.00532899267458512	0.00229777109228745	0.0183361931884054	25	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00101567734586393	0.00415880677761429	0.308284037942008	0.131868131868132	FALSE	1000	12	0.13986013986014
PTPRK	0.696017026451809	0.00614169188933186	0.0031104703070342	0.0302393265616888	14	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00126867967943761	0.00623192167801983	0.295541363122813	0.0999000999000999	FALSE	1000	13	0.13986013986014
LAMA4	0.708604439039226	0.00607828679873072	0.00304706521643305	0.0304944704736405	16	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00122794231196561	0.00622232744249713	0.292354094392917	0.10989010989011	FALSE	1000	14	0.13986013986014
NECTIN2	0.701094557616298	0.0056245880972573	0.00259336651495963	0.0208343238587348	18	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00111473756088902	0.00520222730828443	0.284229978131854	0.108891108891109	FALSE	1000	15	0.13986013986014
IFITM1	0.684980237154153	0.00614961101374011	0.00311838943144244	0.0303772317149231	13	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00130454647793319	0.00653531982130147	0.277544634861961	0.0989010989010989	FALSE	1000	16	0.13986013986014
TGM2	0.714958954089389	0.00579200635801395	0.00276078477571628	0.0308367237918194	17	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00117032410835034	0.00609922027428231	0.260764588888879	0.108891108891109	FALSE	1000	17	0.13986013986014
PTPRM	0.641653998175737	0.00608989474907	0.00305867316677233	0.0290298605642122	15	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00132035344253559	0.00692898044834454	0.250876696390746	0.0909090909090909	FALSE	1000	18	0.13986013986014
TGFBI	0.69847978108848	0.00627700045681146	0.0032457788745138	0.0284487149557793	12	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00140195751170257	0.00769712079781698	0.239546891785064	0.0909090909090909	FALSE	1000	19	0.13986013986014
ADAM10	0.651474612344178	0.00541893354792497	0.00238771196562731	0.0213101487327573	21	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00121563321137814	0.00611350421081043	0.191719628192388	0.12987012987013	FALSE	1000	20	0.13986013986014
TIMP3	0.681058072362421	0.00537178821281719	0.00234056663051953	0.0271449017826459	23	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.0012289854347216	0.006217363163527	0.178786595950967	0.138861138861139	FALSE	1000	21	0.13986013986014
LAMB2	0.682091821222256	0.00535382748872959	0.00232260590643192	0.0278177834182518	24	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00123629361760458	0.00624319224240775	0.173999493632185	0.131868131868132	FALSE	1000	22	0.13986013986014
JAG1	0.643812709030101	0.00545444711856155	0.00242322553626388	0.0311171196685419	20	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00134655148848224	0.00637131040379877	0.168987850150841	0.13986013986014	FALSE	1000	23	0.13986013986014
MMP2	0.695956217695349	0.00546796356813536	0.00243674198583769	0.0252250796631674	19	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00131848079549473	0.00692589533128775	0.16146088510625	0.12987012987013	FALSE	1000	24	0.13986013986014
S100A4	0.683034356947403	0.00537700269479426	0.0023457811124966	0.0220313126449341	22	EC aerocyte capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00139768571222738	0.00698788580309055	0.135677002599255	0.13986013986014	FALSE	1000	25	0.13986013986014
