test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
FBLN1	0.635828442771195	0.00290157606197722	0.000673502332992004	0.0106989601498237	91	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
SPARC	0.62353744509652	0.00287758524936257	0.000649511520377356	-0.00500766043926127	92	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
CALM1	0.610009965673791	0.00286252727788162	0.000634453548896409	0.0081190286819611	93	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
HGF	0.606964898682317	0.00285544310129516	0.000627369372309949	-0.00657354492104152	94	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
NID2	0.616543018491862	0.00285538023133792	0.000627306502352704	0.0104921080239675	95	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LAMA2	0.625881223932381	0.00285269578278264	0.000624622053797421	-0.00758956957513783	96	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LRPAP1	0.614106964898682	0.00282214870182861	0.000594074972843391	0.010996405710737	97	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
MFGE8	0.58098032702174	0.00278332531156629	0.000555251582581076	0.00784186240283567	98	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
IGFBP4	0.616210829365519	0.00276763552822565	0.000539561799240437	0.0103188243990881	99	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
NID1	0.563817222160705	0.00272304762541392	0.000494973896428704	0.00757450971692942	100	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
SERPINE1	0.584689772265899	0.00271487025578258	0.000486796526797368	0.00723793507417179	101	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
MMP2	0.591370464695678	0.00271000816419074	0.000481934435205526	0.008634946723166	102	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
TIMP2	0.603384638098401	0.00270328081901278	0.000475207090027567	0.00508671396851879	103	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ADAM10	0.559830952644594	0.0026972119738963	0.000469138244911082	0.00477776890516266	104	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PLAT	0.57073782895951	0.00264188749308401	0.000413813764098797	0.00259966974767493	105	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PTPRK	0.574244269737571	0.00260642935447592	0.000378355625490711	0.00581906218802593	106	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
THBS1	0.576385044107334	0.00260037750898811	0.000372303780002892	0.00676576009159575	107	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ANGPT1	0.588436127412984	0.00258791834843518	0.00035984461944997	-0.00750193957228895	108	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
NECTIN2	0.57084855866829	0.00252472746425115	0.000296653735265935	0.00238904234022819	109	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PLTP	0.571974310707562	0.00245152925965332	0.000223455530668102	0.00239935964486082	110	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
MXRA8	0.56553353264681	0.00243453933471697	0.000206465605731758	0.00444355855309085	111	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ADGRE5	0.566622374783155	0.0023767567621801	0.000148683033194885	0.00296027308147325	112	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
JAG1	0.533920200789872	0.00227479243832063	4.67187093354127e-05	-0.00556350283707396	113	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
SPON2	0.545048536522349	0.00219644345944629	-3.16302695389284e-05	-0.00429280433229534	114	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
CADM1	0.515022330491271	0.00218318675716707	-4.48869718181429e-05	-0.00840139474865233	115	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
CLEC11A	0.507861809323442	0.00218057255840719	-4.75011705780228e-05	-0.00140884171607262	116	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PTPRM	0.505462665633188	0.00215939808960419	-6.86756393810215e-05	-0.00380896001172699	117	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LTBP3	0.500553648543904	0.00212986598195799	-9.82077470272225e-05	-0.0020063016440536	118	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PAM	0.458513269110103	0.00189398913213403	-0.000334084596851187	-0.00707832294577586	119	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
