test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
COL18A1	0.695043103448277	0.0907246101886119	0.0867615982995763	0.181208881176732	1	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
PTN	0.648651635720603	0.0277665821055034	0.0238035702164677	0.142715079690841	2	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
JAG1	0.646579354553495	0.0225494342352731	0.0185864223462375	0.0701071867091274	3	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
ANGPT1	0.799016357206014	0.0182438867563515	0.0142808748673158	0.105092954745961	4	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
ADAM17	0.689517020335987	0.0122567994339927	0.008293787544957	0.0579573914529118	5	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
TGFB1	0.829851900972592	0.0121041339662918	0.00814112207725617	0.0484811323143862	6	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
ADAM10	0.623784261715298	0.0108172382052332	0.00685422631619757	0.0386610827990459	7	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
TGFB2	0.738892572944299	0.0106752735676739	0.00671226167863822	0.0495937953089129	8	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
CALR	0.632929929266137	0.0104310760078653	0.00646806411882967	0.0308118925217166	9	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
MPDZ	0.727453580901858	0.00894488350764721	0.00498187161861154	0.0421254369761593	10	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
HGF	0.658570954907164	0.00870142253224523	0.00473841064320956	0.026070887292105	11	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
HMGB1	0.730824491600356	0.00867452517497102	0.00471151328593535	0.0203027979766121	12	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
ANGPT2	0.678105658709109	0.00856472705455352	0.00460171516551785	0.0163794606275736	13	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
ADAM9	0.71261604774536	0.00809574366782774	0.00413273177879208	0.0217302848038441	14	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
NID1	0.681476569407605	0.00791417088569499	0.00395115899665932	0.0357734379060066	15	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
LAMA4	0.694158930150313	0.0078714698306095	0.00390845794157383	0.0339285351407894	16	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
PSEN1	0.645418877099913	0.00764181806223745	0.00367880617320178	0.0221637949729987	17	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
IFITM1	0.675536030061895	0.00763550123529003	0.00367248934625437	0.0323877105850401	18	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE
