test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
PDGFB	0.793485747294983	0.0266495488367625	0.0186162254211124	0.0699319197502829	315	Pericyte_fibroblast_like
CADM3	0.766879957341863	0.0256237154257371	0.017590392010087	0.0850141119647288	316	Pericyte_fibroblast_like
WNT2B	0.694549978893107	0.0250842971495513	0.0170509737339012	0.0404804586975435	317	Pericyte_fibroblast_like
NLGN1	0.791375058321665	0.0250835398231681	0.017050216407518	0.00388835264606603	318	Pericyte_fibroblast_like
CAMP	0.790886267191	0.0250230650436089	0.0169897416279588	0.035874641183113	319	Pericyte_fibroblast_like
MIF	0.76664667066586	0.0249932992250216	0.0169599758093715	0.0504606583421296	320	Pericyte_fibroblast_like
ADM	0.777722233331105	0.02480526514692	0.0167719417312699	0.00811508525785423	321	Pericyte_fibroblast_like
NGF	0.753104934568642	0.0242094928521862	0.0161761694365361	0.0221412156508485	322	Pericyte_fibroblast_like
LTF	0.726421382390185	0.0239020767666604	0.0158687533510103	0.0244981362743181	323	Pericyte_fibroblast_like
CSF2	0.742584816370058	0.0233466794234438	0.0153133560077937	0.0219960658819279	324	Pericyte_fibroblast_like
CXCL8	0.745817503166029	0.0206227329052139	0.0125894094895638	0.00776633311433883	325	Pericyte_fibroblast_like
CKLF	0.628374325134973	0.0205664314452256	0.0125331080295755	0.0543837896878048	326	Pericyte_fibroblast_like
PLAU	0.735175187184779	0.0179863080576519	0.00995298464200181	0.00739265899637846	327	Pericyte_fibroblast_like
PDGFD	0.711735430691633	0.0168342627825716	0.00880093936692146	0.0271137197890273	328	Pericyte_fibroblast_like
