feature	level	n_settings	mean_rho	sd_rho	min_rho	max_rho	sign_consistency	root	root_matched_on	root_cell_program
AGTR1_expr	cell	18	-0.1341536583303734	0.00490451427474437	-0.14092857144572266	-0.12371430201904612	1.0	vascular_stabilizing	state_program	vascular_stabilizing
AGTR1_expr	donor	18	-0.3091862719584826	0.013420443677530633	-0.32710724483970555	-0.28440888633818456	1.0	vascular_stabilizing	state_program	vascular_stabilizing
AGTR1_scvi	cell	18	-0.30786214035865134	0.007359144510323473	-0.3189876415709653	-0.29295320887045734	1.0	vascular_stabilizing	state_program	vascular_stabilizing
AGTR1_scvi	donor	18	-0.3786870221573772	0.008599184440517642	-0.39380285488624767	-0.3697559284159426	1.0	vascular_stabilizing	state_program	vascular_stabilizing
activated_migratory_score	cell	18	-0.38995394313175546	0.0028740730055795897	-0.3951489978590262	-0.3851821617848481	1.0	vascular_stabilizing	state_program	vascular_stabilizing
activated_migratory_score	donor	18	-0.4510121259252431	0.013764309554567046	-0.4726397102733525	-0.4364219529579472	1.0	vascular_stabilizing	state_program	vascular_stabilizing
basement_membrane_score	cell	18	0.3231573911843424	0.002049323752030363	0.3197292729113267	0.3261311377444272	1.0	vascular_stabilizing	state_program	vascular_stabilizing
basement_membrane_score	donor	18	0.1522428991786283	0.034488884014995454	0.10910789620696962	0.20412629307853827	1.0	vascular_stabilizing	state_program	vascular_stabilizing
fibroblast_like_score	cell	18	-0.2249811997549771	0.003812162001274279	-0.23218020481979518	-0.21841776591830311	1.0	vascular_stabilizing	state_program	vascular_stabilizing
fibroblast_like_score	donor	18	-0.2894601807613705	0.032601968300592	-0.3334938644988538	-0.2491745487468937	1.0	vascular_stabilizing	state_program	vascular_stabilizing
inflammatory_score	cell	18	-0.45536474723157383	0.0031006997181477285	-0.4612988492976356	-0.4521057771122824	1.0	vascular_stabilizing	state_program	vascular_stabilizing
inflammatory_score	donor	18	-0.4829532459055667	0.016279566906372493	-0.4984049623393886	-0.4571940436516345	1.0	vascular_stabilizing	state_program	vascular_stabilizing
synthetic_contractile_score	cell	18	-0.44773790027349375	0.0045158528030200705	-0.4544469543227537	-0.4406900445260383	1.0	vascular_stabilizing	state_program	vascular_stabilizing
synthetic_contractile_score	donor	18	-0.4959818321742831	0.021744353272514543	-0.5217815106624799	-0.46587337132713985	1.0	vascular_stabilizing	state_program	vascular_stabilizing
vascular_stabilizing_score	cell	18	-0.4854869389550874	0.004921307750276808	-0.49258466775294485	-0.47703115826143516	1.0	vascular_stabilizing	state_program	vascular_stabilizing
vascular_stabilizing_score	donor	18	-0.5713185939794484	0.015436192702188168	-0.5947987902371366	-0.5433222245766793	1.0	vascular_stabilizing	state_program	vascular_stabilizing
