leiden_pericytes	vascular_stabilizing	inflammatory	synthetic_contractile	activated_migratory	fibroblast_like
0	0.22695714627723246	0.13095523102705292	0.2578405554225521	0.1711754847977017	0.21307158247546085
1	0.2350509782309176	0.18903279140259024	0.19454395150179113	0.17828602920914852	0.2030862496555525
2	0.12238979118329467	0.3167053364269142	0.12877030162412992	0.29756380510440833	0.1345707656612529
3	0.2673992673992674	0.23443223443223443	0.18974358974358974	0.1391941391941392	0.16923076923076924
4	0.28665207877461707	0.08971553610503283	0.20568927789934355	0.16849015317286653	0.24945295404814005
5	0.1504424778761062	0.36283185840707965	0.10619469026548672	0.3008849557522124	0.07964601769911504
6	0.08928571428571429	0.03571428571428571	0.33035714285714285	0.2857142857142857	0.25892857142857145
7	0.05825242718446602	0.2912621359223301	0.0970873786407767	0.33980582524271846	0.21359223300970873
