disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.0933988751982744	0.0265942121216395	16.4656304177908	0.0371509589054922	0.149646791491057	32	20	69		lmer(disease_group + sex + (1 | study))	TRUE
Fibrotic_ILD	0.134097480624044	0.034563916034399	27.5172770513539	0.0632405105433407	0.204954450704746	17	20	69		lmer(disease_group + sex + (1 | study))	TRUE
Other	0.156763973860495	0.0377774729047689	10.6855423033018	0.073316803161457	0.240211144559534	20	20	69		lmer(disease_group + sex + (1 | study))	TRUE
