Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)
state_program	0.903581643701021	0.45179082185051	2	68.1275198103511	5.51988347976352	0.0060014083383725
disease_group	0.40279530610342	0.134265102034473	3	94.9185243117927	1.6404222546913	0.185226979271342
sex	0.225160959582934	0.112580479791467	2	84.8067776237457	1.37548418535689	0.258296750718764
