disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	-0.0788918424262882	0.073425388525624	31	-0.228643909631179	0.0708602247786025
Fibrotic_ILD	0.0960950638906756	0.189257250194982	31	-0.28989764271	0.482087770491352
Other	-0.0889685859850782	0.215043194845168	31	-0.527552073427841	0.349614901457684
