program	Sum.Sq	Df	F.value	Pr..F.	p_BH
vascular_stabilizing	0.00439249822424603	2	0.0193457080088699	0.980852051008056	0.980852051008056
inflammatory	0.0368512290311416	2	0.185787881391154	0.831367583130077	0.980852051008056
synthetic_contractile	0.034758766286382	2	0.12045736444707	0.886927787847893	0.980852051008056
activated_migratory	0.107864061881863	2	0.3944758752129	0.677368572907821	0.980852051008056
fibroblast_like	0.0394807689749639	2	0.15456913844656	0.85744046857352	0.980852051008056
