contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells	arm	touches_small_group
Healthy - Fibrotic_ILD	2.25613963473405e-06	0.110865524287313	37.4215209863145	2.03502364620327e-05	0.999983870960781	-0.22454725444379	0.22455176672306	10	_ageadj	FALSE
Healthy - Other	-0.0996006742078197	0.367053195780847	10.4838820793955	-0.27135215100344	0.999983870960781	-0.912358295940611	0.713156947524971	10	_ageadj	FALSE
Fibrotic_ILD - Other	-0.0996029303474544	0.379435093531595	11.7193065360463	-0.262503210813737	0.999983870960781	-0.928522446614024	0.729316585919116	10	_ageadj	FALSE
