contrast	estimate	SE	df	t.ratio	p.value
pericyte_state0 - pericyte_state1	0.357434845009862	0.0644916268841746	159.230152979985	5.54234498769594	1.13920138590648e-06
pericyte_state0 - pericyte_state2	0.363311792399706	0.0654746206132285	131.657765923359	5.54889496108516	1.13920138590648e-06
pericyte_state0 - pericyte_state3	0.0661621554957933	0.0875499614028055	135.194605093974	0.755707420490914	0.626959556731775
pericyte_state0 - pericyte_state4	0.278889824418734	0.105983811458491	131.174464380437	2.63143795812594	0.0285640017743036
pericyte_state0 - pericyte_state5	0.316357350645925	0.178346709128876	125.720843102395	1.77383340680159	0.168239238111189
pericyte_state1 - pericyte_state2	0.00587694738984357	0.0678745437004283	143.114482235005	0.0865854423387672	0.931122062038557
pericyte_state1 - pericyte_state3	-0.291272689514069	0.087586064015622	135.082651202823	-3.32555975414213	0.00481371178023018
pericyte_state1 - pericyte_state4	-0.0785450205911279	0.105941363000084	131.705835674672	-0.741400887876683	0.626959556731775
pericyte_state1 - pericyte_state5	-0.0410774943639368	0.178391524148766	126.392132645696	-0.230265953272987	0.904742730510356
pericyte_state2 - pericyte_state3	-0.297149636903913	0.0902651140451914	129.011006247297	-3.29196545140511	0.00481371178023018
pericyte_state2 - pericyte_state4	-0.0844219679809715	0.107124298106945	126.103383809834	-0.788074876315087	0.626959556731775
pericyte_state2 - pericyte_state5	-0.0469544417537804	0.179177024551998	124.295356248664	-0.262056152964824	0.904742730510356
pericyte_state3 - pericyte_state4	0.212727668922941	0.117115196025247	122.375854243067	1.81639681392911	0.168239238111189
pericyte_state3 - pericyte_state5	0.250195195150132	0.184542235726553	122.256165615166	1.3557611576835	0.333139247622719
pericyte_state4 - pericyte_state5	0.0374675262271911	0.190522751471008	120.91860747746	0.196656440965228	0.904742730510356
