disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.402339372527552	0.119899840671343	10.2027411124462	0.135903716210597	0.668775028844506	29	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Fibrotic_ILD	0.218245140169562	0.161224992855618	22.6180159071328	-0.115586119959361	0.552076400298484	4	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Other	0.138826905113595	0.389668566758444	9.48267797953928	-0.735872205846403	1.01352601607359	3	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
