disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	-0.0675162086760009	0.0709658649553704	31	-0.21225204448763	0.0772196271356286
Fibrotic_ILD	-0.0459422747543059	0.182917717275337	31	-0.419005418721492	0.327120869212881
Other	-0.185281727185947	0.207839912479699	31	-0.609174023386146	0.238610569014251
