disease_group	emmean	SE	df	lower.CL	upper.CL	min_cells	n_donors	arm
Healthy	0.334995712675217	0.091576653929302	20.5911150011358	0.144321104290061	0.525670321060373	10	89	
COPD	0.614102355134057	0.170239762249287	80.220558372389	0.27532873025609	0.952875980012025	10	89	
Fibrotic_ILD	0.292673548476817	0.101079178490582	26.9988617820587	0.0852757963534175	0.500071300600216	10	89	
Other	0.339348066618112	0.143929532196777	37.4100008797848	0.0478269804435409	0.630869152792682	10	89	
