disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.0444912511220694	0.0125992042271685	7.12149939566026	0.0148015969070362	0.0741809053371027	38	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Fibrotic_ILD	0.031730824655987	0.0292161441255673	13.7528387471993	-0.0310373882589235	0.0944990375708974	6	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Other	0.0815423625191726	0.0383593671000602	10.4326516892321	-0.00344960671358092	0.166534331751926	3	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
