disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.0128216446138556	0.00428121746343283	20.2139199709086	0.00389723634175472	0.0217460528859565	42	10	89		lmer(disease_group + sex + (1 | study))	TRUE
COPD	0.0944689437076029	0.0175886946153521	81.553655560684	0.0594765598091258	0.12946132760608	1	10	89		lmer(disease_group + sex + (1 | study))	FALSE
Fibrotic_ILD	0.00614292194303819	0.00562511936610976	27.6271564597708	-0.00538662246248479	0.0176724663485612	24	10	89		lmer(disease_group + sex + (1 | study))	TRUE
Other	0.0138606988330223	0.00675546580155755	13.5253654583834	-0.000676180937090064	0.0283975786031347	22	10	89		lmer(disease_group + sex + (1 | study))	TRUE
