contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells
Healthy - Fibrotic_ILD	-0.0545817473954747	0.0494936207331597	31	-1.10280368635277	0.417900643363805	-0.155524652391598	0.0463611576006486	20
Healthy - Other	-0.0736936244221393	0.0570941783056761	31	-1.29073798080763	0.417900643363805	-0.19013796878752	0.0427507199432412	20
Fibrotic_ILD - Other	-0.0191118770266646	0.0714866043604381	31	-0.267349067670103	0.790971091937126	-0.164909767856998	0.126686013803669	20
