disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	0.178716282779119	0.0174586671259146	31	0.143109096419657	0.214323469138581
Fibrotic_ILD	0.19974628994529	0.0450005018518498	31	0.107967161323856	0.291525418566725
Other	0.175772173404384	0.0511317356555053	31	0.0714883109973946	0.280056035811374
