disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	estimable
Healthy	0.379679446762826	0.112320249457436	11.1067929191398	0.132753943958225	0.626604949567426	38	10	47	_ageadj	TRUE
Fibrotic_ILD	0.349709481501818	0.136713016749311	21.1575383021715	0.0655280455568908	0.633890917446745	6	10	47	_ageadj	TRUE
Other	0.146578869515245	0.384885026924533	10.6642964055181	-0.703812275422583	0.996970014453072	3	10	47	_ageadj	TRUE
