contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells	arm
Healthy - COPD	0.15774996436811	0.0579481074467709	77.2749823337151	2.72226257799729	0.0240294428825126	0.0423670931781699	0.273132835558051	10	
Healthy - Fibrotic_ILD	-0.00816620297980538	0.0229812397107541	71.3899022814261	-0.355342143530402	0.868057248569076	-0.0539851569009386	0.0376527509413279	10	
Healthy - Other	0.0044617204658861	0.0321926776730289	22.3446934133797	0.138594263925555	0.891012260185984	-0.062242143961813	0.0711655848935852	10	
COPD - Fibrotic_ILD	-0.165916167347916	0.0533156882235595	70.2727914488415	-3.11195771593922	0.0161195894795551	-0.272243697961293	-0.0595886367345387	10	
COPD - Other	-0.153288243902224	0.0625761806173356	79.324108737507	-2.44962607800577	0.0330071758013722	-0.27783510326373	-0.0287413845407188	10	
Fibrotic_ILD - Other	0.0126279234456915	0.03393592644779	21.3508500569158	0.372110761882967	0.868057248569076	-0.0578751512492848	0.0831309981406678	10	
