Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)
pericyte_state	4.84592158032722	0.969184316065445	5	128.426116768324	9.56546434163014	8.89005035321381e-08
disease_group	0.32541850567235	0.108472835224117	3	89.6179939405018	1.07058380967625	0.365711733618547
sex	0.112427647065037	0.0562138235325185	2	75.7521552256675	0.554808116055693	0.576497684400622
