contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells
Healthy - Fibrotic_ILD	-0.00976622532961613	0.0161536752041203	42	-0.604582251791535	0.972143640100912	-0.0423656616923233	0.0228332110330911	10
Healthy - Other	-0.00885938390155912	0.0219005631564468	42	-0.404527675305518	0.972143640100912	-0.0530565096890042	0.0353377418858859	10
Fibrotic_ILD - Other	0.000906841428057019	0.0258149190422783	42	0.0351285791976276	0.972143640100912	-0.0511897743509043	0.0530034572070184	10
