contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells	arm	model	touches_small_group
Healthy - Fibrotic_ILD	0.0115725250641324	0.011444376210219	22.6873767988075	1.01119753943417	0.656905692706721	-0.0121200352325844	0.0352650853608492	10	_ageadj	lmer(disease_group + sex + age + (1 | study))	FALSE
Healthy - Other	-0.0033565444258619	0.0158491819257009	9.26219241093622	-0.211780295134285	0.836865437583877	-0.0390557682629484	0.0323426794112246	10	_ageadj	lmer(disease_group + sex + age + (1 | study))	FALSE
Fibrotic_ILD - Other	-0.0149290694899943	0.0185586195045529	11.1694369059928	-0.804427801665517	0.656905692706721	-0.055700842759941	0.0258427037799525	10	_ageadj	lmer(disease_group + sex + age + (1 | study))	FALSE
