disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.0468144018734241	0.0166431227897901	21.588691978077	0.0122605110493688	0.0813682926974794	42	10	89		lmer(disease_group + sex + (1 | study))	TRUE
COPD	-0.110935562494686	0.05661485705469	80.821870657809	-0.223585132980989	0.0017140079916166	1	10	89		lmer(disease_group + sex + (1 | study))	FALSE
Fibrotic_ILD	0.0549806048532295	0.0210216774782264	31.1575802278287	0.0121153978216987	0.0978458118847603	24	10	89		lmer(disease_group + sex + (1 | study))	TRUE
Other	0.042352681407538	0.0275588282156835	16.9785628989977	-0.0157969564623686	0.100502319277445	22	10	89		lmer(disease_group + sex + (1 | study))	TRUE
