level	n_donors	arm	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells
0	89		3	1.57099540036665	0.203889632789021	0.801773775011473	COPD	0.244667559346825	10
1	89		3	1.92982712097643	0.132411528278689	0.825602997720148	COPD	0.198617292418033	10
2	89		3	0.325812021772877	0.806669580047268	0.625093479121619	COPD	0.806669580047268	10
3	89		3	3.29946976430443	0.0285043764081665	0.904972251205416	COPD	0.0855131292244994	10
4	89		3	2.48406134386525	0.103071797595026	0.670674320636425	COPD	0.198617292418033	10
5	89		3	9.47700421178037	8.62176092501761e-05	0.514240368928797	COPD	0.000517305655501057	10
