disease_group	emmean	SE	df	lower.CL	upper.CL	min_cells	n_donors	arm
Healthy	0.59227388594024	0.0921123836881443	20.0629594909899	0.400169467541726	0.784378304338754	10	89	
COPD	0.324569281602105	0.157787004211769	75.9832517261919	0.0103081069360927	0.638830456268117	10	89	
Fibrotic_ILD	0.615146633477582	0.100049547692567	25.5335361459881	0.409308833545692	0.820984433409472	10	89	
Other	0.566814863809403	0.139167755523152	39.5547199348177	0.285447672394766	0.848182055224039	10	89	
