disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.4294350330565	0.103632606952002	11.1642283438841	0.201749904619893	0.657120161493107	38	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Fibrotic_ILD	0.429432776916865	0.141035747067517	26.4585603077883	0.139773986879885	0.719091566953845	6	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Other	0.529035707264319	0.352023734085953	10.4163175768574	-0.251093424626506	1.30916483915514	3	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
