disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	estimable
Healthy	0.0192790252300107	0.00535738176874627	5.33237706541721	0.00576166508463282	0.0327963853753886	29	20	36	_ageadj	TRUE
Fibrotic_ILD	0.035019157240942	0.0129088673640365	12.4506207152771	0.00700563825288006	0.0630326762290039	4	20	36	_ageadj	TRUE
Other	0.0340422354939722	0.0141234378291213	7.18291723387376	0.00081724546066296	0.0672672255272815	3	20	36	_ageadj	TRUE
