level	n_donors	arm	model	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells
0	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.0368711630146285	0.963882024410695	NA		0.963882024410695	10
1	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.22046193053673	0.804544519822754	NA		0.963882024410695	10
2	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	1.39042769156789	0.272737193254844	NA		0.963882024410695	10
3	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.566913248414503	0.583177345993545	NA		0.963882024410695	10
4	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.240293746158964	0.790345268777557	NA		0.963882024410695	10
5	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.646520976491327	0.539838711489482	NA		0.963882024410695	10
