contrast	estimate	SE	df	t.ratio	p.value	lens	arm	model	n_donors	n_studies	study_sd	singular	n_donors_group	citable_as
Healthy - Fibrotic_ILD	0.0850206777557841	0.270891222573829	28.5118927846663	0.313855417491841	0.755915707729526	AGTR1_expr	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	0.355404104195463	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	citable
Healthy - Other	0.394443659218537	0.410881944721891	8.1249731458657	0.959992679857276	0.755915707729526	AGTR1_expr	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	0.355404104195463	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	citable
Fibrotic_ILD - Other	0.309422981462753	0.470431603090955	10.5664014664481	0.657742760966099	0.755915707729526	AGTR1_expr	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	0.355404104195463	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	citable
Healthy - Fibrotic_ILD	3.39353921250678	4.88700620756111	25.0083678266672	0.694400430115342	0.503216334286833	AGTR1_scvi	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	5.65149257976292	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	NOT CITABLE as evidence: the denoised lens is the ONLY lens that moves. Raw expression and detection are both null on this contrast, and the count model (disease_association mean_expr, z_AGTR1 in Pericytes, 77 donors) is a well-powered null: -0.152, BH = 0.85. A denoiser-only result is the signature the standing rule exists to catch.
Healthy - Other	8.91021102901283	6.79619974825822	7.77942072929306	1.3110578498368	0.503216334286833	AGTR1_scvi	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	5.65149257976292	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	NOT CITABLE as evidence: the denoised lens is the ONLY lens that moves. Raw expression and detection are both null on this contrast, and the count model (disease_association mean_expr, z_AGTR1 in Pericytes, 77 donors) is a well-powered null: -0.152, BH = 0.85. A denoiser-only result is the signature the standing rule exists to catch.
Fibrotic_ILD - Other	5.51667181650605	7.94815504478941	10.1434958866181	0.694082058719101	0.503216334286833	AGTR1_scvi	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	5.65149257976292	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	NOT CITABLE as evidence: the denoised lens is the ONLY lens that moves. Raw expression and detection are both null on this contrast, and the count model (disease_association mean_expr, z_AGTR1 in Pericytes, 77 donors) is a well-powered null: -0.152, BH = 0.85. A denoiser-only result is the signature the standing rule exists to catch.
Healthy - Fibrotic_ILD	-0.012511081583064	0.135636767802421	28.2997442320531	-0.0922396027697194	0.927157548291416	AGTR1_detect	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	0.176351078414758	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	citable
Healthy - Other	0.17710573130622	0.204364211217925	8.10051083222184	0.866618133628897	0.654481282247625	AGTR1_detect	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	0.176351078414758	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	citable
Fibrotic_ILD - Other	0.189616812889284	0.234344185362202	10.5397330667173	0.809138117065769	0.654481282247625	AGTR1_detect	ageadj	lmer(disease_group + sex + age + (1 | study))	36	12	0.176351078414758	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	citable
