disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	estimable
Healthy	0.462565574997791	0.122683606089044	10.1851483111974	0.189881530384993	0.735249619610589	29	20	36	_ageadj	TRUE
Fibrotic_ILD	0.281125927850476	0.160766828930862	21.7571607961737	-0.0524999596231359	0.614751815324088	4	20	36	_ageadj	TRUE
Other	0.233578258344917	0.399666530149062	9.5405458474192	-0.662781686313405	1.12993820300324	3	20	36	_ageadj	TRUE
