disease_group	emmean	SE	df	lower.CL	upper.CL	min_cells	n_donors	injury_programs
Healthy	0.0240654370226543	0.00604162500663609	42	0.0118729441414716	0.036257929903837	10	47	activated_migratory
Fibrotic_ILD	0.0338316623522704	0.0150693067973469	42	0.003420570030387	0.0642427546741539	10	47	activated_migratory
Other	0.0329248209242134	0.020906446779448	42	-0.00926609679233812	0.075115738640765	10	47	activated_migratory
