contrast	estimate	SE	df	z.ratio	p.value	lens
activated_migratory - fibroblast_like	-0.321355629268939	0.080903879258704	Inf	-3.97206700362722	7.1251670771084e-05	ACTA2_expr
activated_migratory - vascular_stabilizing	-0.652181346370962	0.0801423909434357	Inf	-8.13778249804488	6.03874842136075e-16	ACTA2_expr
fibroblast_like - vascular_stabilizing	-0.330825717102023	0.033173630606762	Inf	-9.97255081976431	6.02997385290585e-23	ACTA2_expr
activated_migratory - fibroblast_like	-0.128030472230434	0.0315481655050282	Inf	-4.05825410704239	4.94409545340373e-05	ACTA2_detect
activated_migratory - vascular_stabilizing	-0.294156753610444	0.0312510061997527	Inf	-9.4127130413091	7.2523919569677e-21	ACTA2_detect
fibroblast_like - vascular_stabilizing	-0.16612628138001	0.0128883101770542	Inf	-12.8896867857645	1.54357052419491e-37	ACTA2_detect
