disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	0.107278561719637	0.0182238932361796	31	0.0701106864187565	0.144446437020518
Fibrotic_ILD	0.161860309115112	0.0469729066605164	31	0.0660584343646654	0.257662183865559
Other	0.180972186141777	0.0533728769124275	31	0.0721174860060202	0.289826886277533
