feature	spearman_rho	p_value	n	p_BH
injury_score	0.0666666666666667	0.698362301059752	36	0.851409230452481
vascular_stabilizing_z	-0.0666666666666667	0.698362301059753	36	0.851409230452481
inflammatory_z	-0.0640926640926641	0.709507692043734	36	0.851409230452481
synthetic_contractile_z	-0.240669240669241	0.156980403527954	36	0.851409230452481
activated_migratory_z	0.110939510939511	0.518064755804656	36	0.851409230452481
fibroblast_like_z	-0.0141570141570142	0.934932896613231	36	0.934932896613231
