disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.386879890880075	0.0919482059629892	20.2793028558629	0.195248501251452	0.578511280508697	42	10	89		lmer(disease_group + sex + (1 | study))	TRUE
COPD	0.568500989174022	0.162820213079886	77.9956992002638	0.244350563684386	0.892651414663658	1	10	89		lmer(disease_group + sex + (1 | study))	FALSE
Fibrotic_ILD	0.345825249967425	0.100516134031474	26.1326598497281	0.139262412995215	0.552388086939635	24	10	89		lmer(disease_group + sex + (1 | study))	TRUE
Other	0.411309391274748	0.14129365887821	38.81407414344	0.12547221339718	0.697146569152317	22	10	89		lmer(disease_group + sex + (1 | study))	TRUE
