term	Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.607746090440241	0.228377026740873	2.66115247717021	0.012074390785486
injury_score	0.183810416973856	0.415266171547564	0.442632772828217	0.661009028523459
age	0.0039849276349632	0.00385398328505127	1.03397636684618	0.308898522327653
sexmale	0.00968603363386208	0.171203407814554	0.0565761730885282	0.95523460835296
