donor_id	state_program	AGTR1_expr	AGTR1_scvi	ACTA2_expr	synth_contr	synth_contr_noACTA2	n
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747225I	basement_membrane	0.607190365806452	2.97547477967742	0.630397375483871	0.580524328344612	0.623925998690674	31
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747237CO	basement_membrane	0.299409	4.30507737142857	0	0.292161634876615	0.36632144318146	7
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	vascular_stabilizing	0.3645821375	3.4109640375	0.1631703375	0.569340104858081	0.675078789393107	8
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	basement_membrane	0.399113683333333	4.369548275	0.472873225	0.581117645369636	0.640870887362768	12
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374759I	vascular_stabilizing	0	2.16064301666667	0	0.360731098254522	0.47228693144662	6
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A9LCTZng	basement_membrane	0.948375986666667	7.84916764666667	0.47838106	0.50755449602339	0.56223400900099	15
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	basement_membrane	0.806567718518519	19.1803049938272	2.03456966666667	1.3360728402491	1.26512218485434	81
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	vascular_stabilizing	0.833676235913044	12.5004328913044	1.4581937	1.22412005559603	1.2393435698523	115
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1	vascular_stabilizing	0.588990265507246	4.68475680821256	1.60964531545894	0.999631181684669	0.9648446679757	207
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	vascular_stabilizing	0.991611083333333	25.0182517333333	1.79699884	1.06534986653593	0.996594903597756	30
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	vascular_stabilizing	0.689838347835498	7.74962968441559	1.52473552878788	1.20728010992037	1.20130196729313	462
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1	vascular_stabilizing	0.895317764640884	7.14467072265194	1.91570599116022	1.06005593680984	0.984101803645872	181
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	vascular_stabilizing	0.736760883111111	16.9132400293333	0.633811066666667	0.785951348344485	0.839987042442201	450
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF2	vascular_stabilizing	0.568761157738095	6.02003535119048	1.19940901547619	0.961647974115515	0.96574601022024	168
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	vascular_stabilizing	0.983240866433566	18.9285250129371	2.05010607902098	1.36576979640619	1.30680586314066	286
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	vascular_stabilizing	0.295759255298417	3.22010835200974	1.91090309622412	1.23454977028262	1.17583182924993	821
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD95	vascular_stabilizing	0.883738297058824	22.3539157352941	0.835147988235294	0.875019659403882	0.911958392149483	102
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94	vascular_stabilizing	0.897321097826087	21.5633770782609	0.759441441304348	0.806137573736301	0.84977897529523	46
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF2	basement_membrane	0.653244371428571	10.3539281761905	1.30902653809524	1.09098869664328	1.09158588733803	21
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	basement_membrane	0.621453309090909	14.10041565	2.04235461818182	1.2648428480011	1.18042263900047	22
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	vascular_stabilizing	1.0382478245283	14.1001030339623	2.19885573584906	1.38662008399269	1.31971411583467	371
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	basement_membrane	0.550272283333333	9.56162739375	1.38009930625	1.01771425353156	0.994127202639504	48
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	basement_membrane	0.640787220620843	13.8400754984479	1.63598416097561	1.23463774223902	1.21309516366212	451
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	vascular_stabilizing	1.23674191487603	22.1765427504132	1.63188550991736	1.10077334291022	1.06878311205267	121
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	basement_membrane	0.83992098375	11.58009664625	0.79354317875	0.965568364366889	1.02209566938877	80
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	vascular_stabilizing	1.42959414918919	21.2819734705405	2.60156052405405	1.40073992722099	1.27078033024556	370
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD92	vascular_stabilizing	0.637831645	10.2547332166667	2.59987452	1.40657406585746	1.27535289165709	60
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	basement_membrane	0.256889101818182	5.60676044545455	1.68305060181818	1.25605486517964	1.22612737388941	55
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	basement_membrane	0.328721571578947	3.63351051326316	0.790277588421053	0.80927862855426	0.831204031631163	95
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	activated_migratory	0.335259144444444	4.02879011111111	0.403531977777778	0.960307125736166	1.06384334508704	9
