level	n_donors	arm	model	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells
0	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.0428503476055072	0.958183485391694	NA		0.958183485391694	20
1	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	1.29482303536126	0.305598295863393	NA		0.80927752397256	20
2	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	1.31682168788615	0.300585670078429	NA		0.80927752397256	20
3	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.38224033476726	0.698814372791104	NA		0.838577247349325	20
4	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	1.10828700266089	0.426127948965451	NA		0.80927752397256	20
5	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	2	0.652250233041776	0.53951834931504	NA		0.80927752397256	20
